frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,394.005343,326.371947,394.320407,325.830324,393.985772,326.04871,356.716999,310.762055,315.179984,354.067842,NaN,NaN,NaN,NaN,24.290456,668.899076,1826.973244,667.262062,394.1038407,326.0836603,315.179984,354.067842,356.716999,310.762055,,78.92385667,-27.98418167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,396.382405,326.148224,396.789428,325.830324,396.654321,325.508215,359.660214,309.581725,317.028382,353.933161,NaN,NaN,NaN,NaN,0,0,0,0,396.608718,325.828921,317.028382,353.933161,359.660214,309.581725,,79.580336,-28.10424,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,399.09664,326.148224,399.183059,325.901786,398.889516,325.594695,362.377028,308.830606,320.044188,353.43933,NaN,NaN,NaN,NaN,0,0,0,0,399.056405,325.8815683,320.044188,353.43933,362.377028,308.830606,,79.012217,-27.55776167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,401.406268,326.148224,401.407063,325.830324,401.375601,325.508215,365.546644,308.830606,322.087154,353.125073,NaN,NaN,NaN,NaN,0,0,0,0,401.3963107,325.828921,322.087154,353.125073,365.546644,308.830606,,79.30915667,-27.296152,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,404.120503,326.148224,403.857236,325.830324,403.861685,325.789273,368.263458,309.259817,324.37333,353.125073,NaN,NaN,NaN,NaN,0,0,0,0,403.9464747,325.922607,324.37333,353.125073,368.263458,309.259817,,79.57314467,-27.202466,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,406.422507,326.395786,406.439342,326.348424,406.439002,325.789273,370.753871,309.742679,326.805432,352.900605,NaN,NaN,NaN,NaN,0,0,0,0,406.433617,326.1778277,326.805432,352.900605,370.753871,309.742679,,79.628185,-26.72277733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,408.520466,326.509423,409.275563,326.064984,409.312824,325.983851,372.734881,310.17189,329.821238,352.900605,NaN,NaN,NaN,NaN,0,0,0,0,409.0362843,326.186086,329.821238,352.900605,372.734881,310.17189,,79.21504633,-26.714519,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,411.277784,326.395786,411.570768,326.144387,412.14103,325.875752,374.998893,310.923009,333.080255,352.631242,NaN,NaN,NaN,NaN,0,0,0,0,411.663194,326.1386417,333.080255,352.631242,374.998893,310.923009,,78.582939,-26.49260033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,413.58554,326.836131,414.184287,326.144387,414.353417,326.04871,376.979903,311.620476,335.366431,352.496561,NaN,NaN,NaN,NaN,0,0,0,0,414.0410813,326.343076,335.366431,352.496561,376.979903,311.620476,,78.67465033,-26.153485,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,415.998193,326.836131,416.613518,326.192028,416.695358,326.386188,378.677912,311.888733,338.187669,352.316986,NaN,NaN,NaN,NaN,0,0,0,0,416.4356897,326.471449,338.187669,352.316986,378.677912,311.888733,,78.24802067,-25.845537,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,418.274182,326.724427,418.757944,326.001463,418.925484,326.21323,379.696717,311.888733,340.814339,352.047623,NaN,NaN,NaN,NaN,0,0,0,0,418.6525367,326.31304,340.814339,352.047623,379.696717,311.888733,,77.83819767,-25.734583,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,420.547526,326.791768,421.136915,326.350833,420.952872,326.136359,380.941924,312.049687,343.538293,351.643579,NaN,NaN,NaN,NaN,0,0,0,0,420.8791043,326.42632,343.538293,351.643579,380.941924,312.049687,,77.34081133,-25.217259,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,422.572223,326.892779,423.348354,326.350833,422.919439,326.21323,382.470132,312.049687,346.116322,351.05996,NaN,NaN,NaN,NaN,0,0,0,0,422.946672,326.485614,346.116322,351.05996,382.470132,312.049687,,76.83035,-24.574346,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,425.28958,326.673922,425.476026,326.414354,425.530024,325.931488,384.16814,312.371595,348.93756,350.251873,NaN,NaN,NaN,NaN,0,0,0,0,425.4318767,326.3399213,348.93756,350.251873,384.16814,312.371595,,76.49431667,-23.91195167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,426.994588,326.606581,427.424075,326.080824,427.998932,325.487348,386.149151,312.800806,351.710156,349.98251,NaN,NaN,NaN,NaN,0,0,0,0,427.4725317,326.058251,351.710156,349.98251,386.149151,312.800806,,75.76237567,-23.924259,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,429.019285,326.522405,429.508933,326.080824,430.125437,325.265278,387.337757,313.76653,354.43411,349.802935,NaN,NaN,NaN,NaN,0,0,0,0,429.5512183,325.956169,354.43411,349.802935,387.337757,313.76653,,75.11710833,-23.846766,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,431.026222,326.43823,431.593791,325.779684,431.94558,325.196949,389.035766,314.14209,356.720286,349.488679,NaN,NaN,NaN,NaN,0,0,0,0,431.5218643,325.8049543,356.720286,349.488679,389.035766,314.14209,,74.80157833,-23.68372467,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,433.050919,326.202537,433.678648,325.422079,434.14417,324.821139,390.846975,313.927484,359.152388,349.039741,NaN,NaN,NaN,NaN,0,0,0,0,433.624579,325.4819183,359.152388,349.039741,390.846975,313.927484,,74.472191,-23.55782267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,435.164419,325.95001,435.763506,325.346794,436.036398,324.735727,392.375183,313.927484,361.973627,348.411229,NaN,NaN,NaN,NaN,0,0,0,0,435.6547743,325.344177,361.973627,348.411229,392.375183,313.927484,,73.68114733,-23.067052,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,437.132606,325.540162,437.570383,324.932726,437.928627,324.53074,393.79019,313.927484,364.989433,347.782716,NaN,NaN,NaN,NaN,0,0,0,0,437.543872,325.0012093,364.989433,347.782716,393.79019,313.927484,,72.554439,-22.78150667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
