frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,189.908138,473.148332,189.812106,473.237127,189.272081,473.757459,155.469169,484.960257,137.10852,506.852393,NaN,NaN,NaN,NaN,1.425886,641.876087,1775.448353,626.701403,189.6641083,473.3809727,137.10852,506.852393,155.469169,484.960257,,52.55558833,-33.47142033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,193.075625,471.852057,192.987224,471.349889,193.272476,471.888233,158.266407,482.930629,139.313893,503.860865,NaN,NaN,NaN,NaN,0,0,0,0,193.111775,471.6967263,139.313893,503.860865,158.266407,482.930629,,53.797882,-32.16413867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,196.047589,470.655495,196.27336,470.783718,196.476981,470.553073,162.632828,480.669044,140.740899,501.866513,NaN,NaN,NaN,NaN,0,0,0,0,196.2659767,470.6640953,140.740899,501.866513,162.632828,480.669044,,55.52507767,-31.20241767,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,198.550295,469.325982,198.959998,469.311672,199.13693,469.395933,165.975869,477.711586,142.946272,499.622867,NaN,NaN,NaN,NaN,0,0,0,0,198.8824077,469.344529,142.946272,499.622867,165.975869,477.711586,,55.93613567,-30.278338,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,201.835097,468.794177,202.024098,468.537905,201.482711,468.719452,170.205838,472.376565,144.24355,498.127103,NaN,NaN,NaN,NaN,0,0,0,0,201.7806353,468.6838447,144.24355,498.127103,170.205838,472.376565,,57.53708533,-29.44325833,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,204.572432,468.162658,204.910569,467.726392,203.916002,467.995574,172.798401,468.781224,145.281373,495.260222,NaN,NaN,NaN,NaN,0,0,0,0,204.4663343,467.9615413,145.281373,495.260222,172.798401,468.781224,,59.18496133,-27.29868067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,207.075138,467.697328,206.878452,467.774439,206.205932,467.853156,175.459188,463.794138,145.281373,492.642635,NaN,NaN,NaN,NaN,0,0,0,0,206.7198407,467.7749743,145.281373,492.642635,175.459188,463.794138,,61.43846767,-24.86766067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,209.499634,467.797042,210.391559,467.690562,209.519814,467.774036,175.800315,460.024829,146.838106,490.523636,NaN,NaN,112.015219,492.918253,0,0,0,0,209.803669,467.75388,146.838106,490.523636,175.800315,460.024829,,62.965563,-22.769756,63.785096,-32.893424,#VALUE!,#VALUE!,7.398643841,#VALUE!,0.058333333
8,212.940855,467.630852,213.529671,467.506032,212.256559,467.900629,177.574173,456.139542,148.913751,488.155343,NaN,NaN,NaN,NaN,0,0,0,0,212.9090283,467.679171,148.913751,488.155343,177.574173,456.139542,,63.99527733,-20.476172,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,216.030133,467.697328,217.062514,467.539583,214.993304,468.185463,181.531242,449.296796,149.821846,486.908873,NaN,NaN,NaN,NaN,0,0,0,0,216.0286503,467.807458,149.821846,486.908873,181.531242,449.296796,,66.20680433,-19.101415,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,218.962992,468.029706,219.707212,468.093173,217.916222,468.897549,183.919128,446.977222,152.286674,485.163816,NaN,NaN,NaN,NaN,0,0,0,0,218.862142,468.3401427,152.286674,485.163816,183.919128,446.977222,,66.575468,-16.82367333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,221.465698,468.794177,221.917706,469.183577,221.174252,469.672931,186.579915,444.42569,152.805586,482.92017,NaN,NaN,NaN,NaN,0,0,0,0,221.5192187,469.216895,152.805586,482.92017,186.579915,444.42569,,68.71363267,-13.703275,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,225.5717,469.957501,225.72686,470.206879,225.419,470.432489,190.468758,444.309711,154.621775,480.42723,NaN,NaN,NaN,NaN,0,0,0,0,225.57252,470.1989563,154.621775,480.42723,190.468758,444.309711,,70.950745,-10.22827367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,229.052026,471.1873,229.299176,471.532139,228.852259,471.633133,196.13146,443.207913,157.216331,477.809643,NaN,NaN,NaN,NaN,0,0,0,0,229.0678203,471.4508573,157.216331,477.809643,196.13146,443.207913,,71.85148933,-6.358785667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,232.610561,472.815954,232.851756,472.70642,232.195101,472.997525,201.862387,442.975955,159.810888,475.44135,NaN,NaN,NaN,NaN,0,0,0,0,232.5524727,472.8399663,159.810888,475.44135,201.862387,442.975955,,72.74158467,-2.601383667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,236.672068,474.041194,236.482596,474.233046,236.1006,474.390048,207.115737,443.787807,162.794627,473.073057,NaN,NaN,NaN,NaN,0,0,0,0,236.4184213,474.2214293,162.794627,473.073057,207.115737,443.787807,,73.62379433,1.148372333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,240.912764,476.13887,241.096563,475.828577,240.568755,476.317075,211.413932,444.42569,167.075645,472.075881,NaN,NaN,NaN,NaN,0,0,0,0,240.8593607,476.0948407,167.075645,472.075881,211.413932,444.42569,,73.78371567,4.018959667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,245.952936,477.704741,246.114033,477.409197,245.506381,477.926552,216.326155,444.831615,169.021562,471.951234,NaN,NaN,NaN,NaN,0,0,0,0,245.8577833,477.6801633,169.021562,471.951234,216.326155,444.831615,,76.83622133,5.728929333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,249.602716,479.477426,249.675385,479.556454,249.478074,479.751992,224.786094,444.773626,173.30258,471.078705,NaN,NaN,NaN,NaN,0,0,0,0,249.5853917,479.5952907,173.30258,471.078705,224.786094,444.773626,,76.28281167,8.516585667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,254.781928,481.841005,254.333343,481.828785,253.832227,482.415134,231.608626,445.353519,176.156592,469.956882,NaN,NaN,NaN,NaN,0,0,0,0,254.3158327,482.028308,176.156592,469.956882,231.608626,445.353519,,78.15924067,12.071426,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,258.570747,483.997771,258.54742,484.056312,257.894561,484.225904,238.294708,448.368967,180.43761,469.084353,NaN,NaN,NaN,NaN,0,0,0,0,258.337576,484.093329,180.43761,469.084353,238.294708,448.368967,,77.899966,15.008976,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,263.159041,485.829545,262.955412,486.106369,262.235638,485.981883,240.000341,450.456584,184.848355,467.339295,NaN,NaN,NaN,NaN,0,0,0,0,262.7833637,485.972599,184.848355,467.339295,240.000341,450.456584,,77.93500867,18.633304,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,267.0869,487.749953,267.557467,488.073951,266.995133,488.082389,243.820959,452.892137,188.480734,467.837883,NaN,NaN,NaN,NaN,0,0,0,0,267.2131667,487.9687643,188.480734,467.837883,243.820959,452.892137,,78.73243267,20.13088133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,271.814233,489.758995,271.812982,490.041534,271.334185,490.012888,248.596731,453.877956,193.280663,466.965354,NaN,NaN,NaN,NaN,0,0,0,0,271.6538,489.9378057,193.280663,466.965354,248.596731,453.877956,,78.373137,22.97245167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,275.464013,491.649858,275.527894,491.950207,275.301399,491.757433,253.781855,455.443669,196.394131,466.342119,NaN,NaN,NaN,NaN,0,0,0,0,275.431102,491.7858327,196.394131,466.342119,253.781855,455.443669,,79.036971,25.44371367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2
25,279.957038,493.598858,279.962457,493.454853,279.69564,493.900062,258.480692,457.662491,200.026509,465.594237,NaN,NaN,NaN,NaN,0,0,0,0,279.8717117,493.6512577,200.026509,465.594237,258.480692,457.662491,,79.84520267,28.05702067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
