frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1617.075737,591.019881,1622.681844,593.812024,1620.897509,592.666094,1681.646989,602.382985,1699.838763,597.975391,NaN,NaN,NaN,NaN,7.652539,680.278283,1614.354305,678.009267,1620.218363,592.499333,1699.838763,597.975391,1681.646989,602.382985,,-79.62039967,-5.476058,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1612.61106,590.392953,1617.80863,592.672177,1616.04435,592.052188,1676.732028,605.484521,1698.274125,597.975391,NaN,NaN,NaN,NaN,0,0,0,0,1615.488013,591.7057727,1698.274125,597.975391,1676.732028,605.484521,,-82.78611167,-6.269618333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1608.76851,589.800855,1613.430996,591.453721,1611.375489,590.67821,1672.084185,608.992815,1696.167881,597.975391,NaN,NaN,NaN,NaN,0,0,0,0,1611.191665,590.644262,1696.167881,597.975391,1672.084185,608.992815,,-84.976216,-7.331129,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1605.548087,587.98973,1608.599079,589.606384,1606.768061,588.982662,1668.611658,611.179144,1694.061637,597.659762,NaN,NaN,NaN,NaN,0,0,0,0,1606.971742,588.859592,1694.061637,597.659762,1668.611658,611.179144,,-87.08989467,-8.80017,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1601.59575,586.735875,1604.056252,587.680437,1602.709747,587.135531,1659.262548,613.416317,1692.376642,596.839128,NaN,NaN,NaN,NaN,0,0,0,0,1602.78725,587.1839477,1692.376642,596.839128,1659.262548,613.416317,,-89.58939233,-9.655180333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1598.24806,585.990221,1599.926409,586.619201,1599.351443,585.862246,1653.439388,614.738283,1690.691647,596.270997,NaN,NaN,NaN,NaN,0,0,0,0,1599.175304,586.1572227,1690.691647,596.270997,1653.439388,614.738283,,-91.516343,-10.11377433,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1595.223486,584.848857,1595.755267,584.771864,1596.057036,584.832892,1646.173794,614.585749,1688.585404,596.207871,NaN,NaN,NaN,NaN,0,0,0,0,1595.678596,584.817871,1688.585404,596.207871,1646.173794,614.585749,,-92.90680767,-11.39,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1589.612074,583.31166,1590.469068,583.553407,1591.591432,583.12363,1638.908199,614.128145,1687.020766,595.513488,NaN,NaN,NaN,NaN,0,0,0,0,1590.557525,583.3295657,1687.020766,595.513488,1638.908199,614.128145,,-96.46324133,-12.18392233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1583.55623,581.009892,1584.191707,581.86329,1585.426958,581.87633,1633.031616,613.670541,1685.335771,594.75598,NaN,NaN,NaN,NaN,0,0,0,0,1584.391632,581.5831707,1685.335771,594.75598,1633.031616,613.670541,,-100.9441393,-13.17280933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1578.308134,580.308146,1579.235895,580.409004,1581.705622,580.667149,1627.689267,612.958714,1684.372916,593.619717,NaN,NaN,NaN,NaN,0,0,0,0,1579.749884,580.461433,1684.372916,593.619717,1627.689267,612.958714,,-104.6230323,-13.158284,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,1573.710628,579.771516,1575.188649,580.133868,1578.404959,580.020401,1624.911246,610.92492,1682.585226,592.896469,NaN,NaN,NaN,NaN,0,0,0,0,1575.768079,579.9752617,1682.585226,592.896469,1624.911246,610.92492,,-106.8171473,-12.92120733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,1568.462532,578.698257,1570.274135,579.780123,1573.931607,580.073415,1621.171601,607.620004,1680.16026,591.063486,NaN,NaN,NaN,NaN,0,0,0,0,1570.889425,579.517265,1680.16026,591.063486,1621.171601,607.620004,,-109.2708353,-11.546221,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,1561.910745,578.657713,1565.316789,579.608559,1570.288173,580.401922,1618.340157,603.857485,1677.093391,588.856424,NaN,NaN,NaN,NaN,0,0,0,0,1565.838569,579.5560647,1677.093391,588.856424,1618.340157,603.857485,,-111.254822,-9.300359333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,1560.204011,579.77405,1561.575117,580.767977,1563.078009,581.022435,1615.241594,597.654414,1674.347473,587.02344,NaN,NaN,NaN,NaN,0,0,0,0,1561.619046,580.5214873,1674.347473,587.02344,1615.241594,597.654414,,-112.7284273,-6.501952667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,1556.104416,581.028792,1557.006797,581.471909,1558.207314,581.533446,1611.769068,593.180067,1672.243458,586.088244,NaN,NaN,NaN,NaN,0,0,0,0,1557.106176,581.3447157,1672.243458,586.088244,1611.769068,593.180067,,-115.1372823,-4.743528333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,1550.95199,582.086463,1552.438477,582.507104,1553.490026,582.445965,1609.899246,586.010943,1667.215219,585.452311,NaN,NaN,1680.25689,632.718602,0,0,0,0,1552.293498,582.3465107,1667.215219,585.452311,1609.899246,586.010943,,-114.9217213,-3.105800333,-70.357644,-46.707659,#VALUE!,#VALUE!,32.03055009,#VALUE!,0.125
16,1544.767734,582.66612,1547.435078,583.956376,1547.775588,583.723492,1603.595274,580.062096,1662.971528,585.078233,NaN,NaN,NaN,NaN,0,0,0,0,1546.659467,583.4486627,1662.971528,585.078233,1603.595274,580.062096,,-116.3120613,-1.629570333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,1538.86458,583.959203,1541.213461,585.240017,1541.946094,585.183523,1597.305338,576.432976,1655.482662,586.462323,NaN,NaN,NaN,NaN,0,0,0,0,1540.674712,584.7942477,1655.482662,586.462323,1597.305338,576.432976,,-114.8079503,-1.668075333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,1532.727174,585.207696,1534.86132,586.358028,1536.272539,586.262747,1590.942007,574.263595,1650.68046,586.988714,NaN,NaN,NaN,NaN,0,0,0,0,1534.620344,585.9428237,1650.68046,586.988714,1590.942007,574.263595,,-116.0601157,-1.045890333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,1526.355517,586.545368,1527.247453,587.268999,1529.673475,587.738576,1583.486463,571.099916,1646.423525,587.689896,NaN,NaN,NaN,NaN,0,0,0,0,1527.758815,587.1843143,1646.423525,587.689896,1583.486463,571.099916,,-118.66471,-0.505581667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,1519.562205,588.150574,1521.281514,588.048097,1521.852212,588.241899,1576.220868,570.150812,1641.287058,588.686313,NaN,NaN,NaN,NaN,0,0,0,0,1520.898644,588.1468567,1641.287058,588.686313,1576.220868,570.150812,,-120.3884143,-0.539456333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,1513.033275,589.810438,1514.668326,589.55718,1514.215916,589.604595,1567.48316,569.518076,1634.848884,589.719634,NaN,NaN,NaN,NaN,0,0,0,0,1513.972506,589.6574043,1634.848884,589.719634,1567.48316,569.518076,,-120.8763783,-0.062229667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,1505.654333,590.813691,1506.740236,590.624581,1506.484729,590.652419,1559.410278,569.518076,1630.767855,590.679147,NaN,NaN,NaN,NaN,0,0,0,0,1506.293099,590.696897,1630.767855,590.679147,1559.410278,569.518076,,-124.4747557,0.01775,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,1498.907872,592.28513,1499.342041,592.05879,1498.939341,592.440506,1551.717295,571.506675,1623.309424,591.011286,NaN,NaN,NaN,NaN,0,0,0,0,1499.063085,592.2614753,1623.309424,591.011286,1551.717295,571.506675,,-124.2463393,1.250189333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,1491.678497,593.316101,1492.235476,592.938198,1492.060614,593.334549,1543.639279,573.216796,1616.646369,591.302254,NaN,NaN,NaN,NaN,0,0,0,0,1491.991529,593.1962827,1616.646369,591.302254,1543.639279,573.216796,,-124.65484,1.894028667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2
25,1485.27463,593.617077,1486.42287,593.842972,1485.181887,593.940192,1536.547805,575.841479,1610.808883,591.958331,NaN,NaN,NaN,NaN,0,0,0,0,1485.626462,593.8000803,1610.808883,591.958331,1536.547805,575.841479,,-125.1824207,1.841749333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
26,1477.803451,594.143786,1478.591242,594.329413,1477.382562,594.412068,1530.131711,577.448427,1604.596129,592.614408,NaN,NaN,NaN,NaN,0,0,0,0,1477.925752,594.295089,1604.596129,592.614408,1530.131711,577.448427,,-126.6703773,1.680681,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667
27,1471.241464,594.40714,1471.927569,594.329413,1470.900582,594.415297,1524.953809,579.055375,1598.21659,593.270485,NaN,NaN,NaN,NaN,0,0,0,0,1471.356538,594.38395,1598.21659,593.270485,1524.953809,579.055375,,-126.8600517,1.113465,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225
28,1464.323706,594.632872,1464.177427,594.708556,1464.044686,594.75672,1519.044248,580.287369,1592.254015,593.664132,NaN,NaN,NaN,NaN,0,0,0,0,1464.18194,594.6993827,1592.254015,593.664132,1519.044248,580.287369,,-128.0720753,1.035250667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333
29,1457.089707,594.78336,1457.187813,594.467283,1457.148929,594.75672,1513.134687,581.680058,1585.791083,595.063762,NaN,NaN,NaN,NaN,0,0,0,0,1457.14215,594.669121,1585.791083,595.063762,1513.134687,581.680058,,-128.6489333,-0.394641,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667
30,1450.412327,594.193204,1450.85008,594.674088,1449.734995,594.415297,1505.424117,583.554831,1579.203063,595.369932,NaN,NaN,NaN,NaN,0,0,0,0,1450.332467,594.4275297,1579.203063,595.369932,1505.424117,583.554831,,-128.8705957,-0.942402333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25
31,1443.875046,593.748794,1443.587479,594.004099,1442.600079,594.035938,1496.944508,584.127087,1573.824236,595.71984,NaN,NaN,NaN,NaN,0,0,0,0,1443.354201,593.9296103,1573.824236,595.71984,1496.944508,584.127087,,-130.4700347,-1.790229667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333
32,1437.10429,593.748794,1437.206377,593.895165,1436.38194,594.11181,1490.274104,586.349041,1566.735859,596.725824,NaN,NaN,NaN,NaN,0,0,0,0,1436.897536,593.9185897,1566.735859,596.725824,1490.274104,586.349041,,-129.8383233,-2.807234333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667
33,1428.975589,592.938153,1429.423149,593.296025,1428.688986,593.08754,1483.136772,588.412283,1560.606498,597.513117,NaN,NaN,NaN,NaN,0,0,0,0,1429.029241,593.1072393,1560.606498,597.513117,1483.136772,588.412283,,-131.5772567,-4.405877667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275
34,1422.993709,592.263399,1422.183602,591.879876,1421.304209,592.119483,1474.632007,591.078627,1555.607112,597.846735,NaN,NaN,NaN,NaN,0,0,0,0,1422.160507,592.087586,1555.607112,597.846735,1474.632007,591.078627,,-133.4466053,-5.759149,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.283333333
35,1414.973224,590.971601,1413.656389,590.70883,1413.325675,590.620781,1467.794842,593.58626,1549.083952,598.041128,NaN,NaN,NaN,NaN,0,0,0,0,1413.985096,590.7670707,1549.083952,598.041128,1467.794842,593.58626,,-135.098856,-7.274057333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667
36,1406.977419,589.327495,1406.621145,589.350208,1406.144994,589.142061,1460.063901,595.395147,1541.930714,598.157764,NaN,NaN,NaN,NaN,0,0,0,0,1406.581186,589.2732547,1541.930714,598.157764,1460.063901,595.395147,,-135.349528,-8.884509333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3
37,1399.771322,587.683388,1399.205317,587.585738,1399.691002,587.668916,1452.904334,598.907949,1534.555097,597.963371,1530.961106,575.854744,NaN,NaN,0,0,0,0,1399.55588,587.646014,1534.555097,597.963371,1452.904334,598.907949,,-134.9992167,-10.317357,#VALUE!,#VALUE!,-78.056772,23.053205,#VALUE!,20.82427528,0.308333333
38,1391.761683,585.802295,1391.789489,586.079482,1392.225707,585.910438,1444.499625,602.420751,1528.587888,597.41907,NaN,NaN,NaN,NaN,0,0,0,0,1391.925626,585.9307383,1528.587888,597.41907,1444.499625,602.420751,,-136.6622617,-11.48833167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667
