frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1488.899211,557.386472,1487.999464,557.080075,1487.832827,557.527749,1549.477483,542.261841,1573.719581,593.944294,NaN,NaN,NaN,NaN,5.990608,681.28865,1649.87665,671.771668,1488.243834,557.331432,1573.719581,593.944294,1549.477483,542.261841,,-85.475747,-36.612862,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1484.787371,557.386472,1483.027403,556.937424,1483.866869,557.847516,1545.597642,538.53924,1571.706554,593.486915,NaN,NaN,NaN,NaN,0,0,0,0,1483.893881,557.3904707,1571.706554,593.486915,1545.597642,538.53924,,-87.812673,-36.09644433,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1480.607753,557.689949,1479.267157,557.383756,1480.534131,558.199259,1541.606949,536.199319,1568.988968,593.131176,NaN,NaN,NaN,NaN,0,0,0,0,1480.136347,557.7576547,1568.988968,593.131176,1541.606949,536.199319,,-88.852621,-35.37352133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1476.563691,557.603241,1476.049626,557.7557,1476.468191,558.199259,1536.729435,535.242079,1566.87529,592.927897,NaN,NaN,NaN,NaN,0,0,0,0,1476.360503,557.8527333,1566.87529,592.927897,1536.729435,535.242079,,-90.51478733,-35.07516367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1472.519628,557.863364,1471.35901,557.792894,1471.502411,558.199259,1530.428898,534.555138,1563.956401,593.232816,NaN,NaN,NaN,NaN,0,0,0,0,1471.793683,557.951839,1563.956401,593.232816,1530.428898,534.555138,,-92.162718,-35.280977,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1467.752605,557.950072,1467.249875,557.569728,1467.70309,558.39112,1525.625286,534.555138,1560.987187,593.131176,NaN,NaN,NaN,NaN,0,0,0,0,1467.568523,557.9703067,1560.987187,593.131176,1525.625286,534.555138,,-93.41866367,-35.16086933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1463.646868,557.820883,1462.571519,557.91327,1463.037257,558.199259,1518.826327,534.555138,1558.521229,592.775437,NaN,NaN,NaN,NaN,0,0,0,0,1463.085215,557.977804,1558.521229,592.775437,1518.826327,534.555138,,-95.43601433,-34.797633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1458.299267,558.084005,1458.367624,558.475319,1459.509412,558.704108,1511.879565,534.555138,1556.105597,592.318059,NaN,NaN,NaN,NaN,0,0,0,0,1458.725434,558.421144,1556.105597,592.318059,1511.879565,534.555138,,-97.38016267,-33.896915,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1453.865787,558.084005,1454.267104,558.607565,1455.243508,559.187311,1506.55864,534.058791,1553.488662,591.352481,NaN,NaN,NaN,NaN,0,0,0,0,1454.4588,558.6262937,1553.488662,591.352481,1506.55864,534.058791,,-99.02986233,-32.72618733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1449.295188,558.434834,1449.305129,558.938182,1450.592487,559.301006,1501.681126,533.987885,1550.217494,590.386904,NaN,NaN,NaN,NaN,0,0,0,0,1449.730935,558.8913407,1550.217494,590.386904,1501.681126,533.987885,,-100.4865593,-31.49556333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,1443.983341,557.702616,1443.550617,558.177764,1445.645222,559.414701,1498.059942,533.704258,1547.147628,589.065588,NaN,NaN,NaN,NaN,0,0,0,0,1444.39306,558.4316937,1547.147628,589.065588,1498.059942,533.704258,,-102.754568,-30.63389433,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,1438.429907,557.949014,1437.865021,558.177764,1439.661106,559.55682,1495.251676,534.271511,1544.228739,587.642632,NaN,NaN,NaN,NaN,0,0,0,0,1438.652011,558.5611993,1544.228739,587.642632,1495.251676,534.271511,,-105.5767277,-29.08143267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,1433.346202,558.068922,1432.971963,558.475319,1435.875423,560.086298,1491.926098,536.256899,1540.957571,586.677055,NaN,NaN,NaN,NaN,0,0,0,0,1434.064529,558.8768463,1540.957571,586.677055,1491.926098,536.256899,,-106.8930417,-27.80020867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,1429.579711,558.972383,1429.11265,558.31001,1431.398857,560.086298,1487.418093,537.462312,1536.679889,586.270496,NaN,NaN,NaN,NaN,0,0,0,0,1430.030406,559.122897,1536.679889,586.270496,1487.418093,537.462312,,-106.649483,-27.147599,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,1425.856021,558.767051,1424.25405,558.177764,1427.387431,560.106663,1483.205694,537.391406,1533.54532,585.379798,NaN,NaN,NaN,NaN,0,0,0,0,1425.832501,559.0171593,1533.54532,585.379798,1483.205694,537.391406,,-107.7128193,-26.36263867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,1421.105106,558.561719,1418.562023,557.875119,1422.48759,560.376162,1478.32818,537.178686,1530.338855,584.491801,NaN,NaN,NaN,NaN,0,0,0,0,1420.71824,558.9376667,1530.338855,584.491801,1478.32818,537.178686,,-109.6206153,-25.55413433,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,1416.653798,558.561719,1412.844521,557.404909,1416.869938,560.106663,1472.878342,537.581999,1525.85987,584.085243,NaN,NaN,NaN,NaN,0,0,0,0,1415.456086,558.691097,1525.85987,584.085243,1472.878342,537.581999,,-110.4037843,-25.394146,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,1409.377623,557.370793,1408.393038,557.248172,1411.84526,559.837164,1468.720956,539.23498,1522.387399,583.983603,NaN,NaN,NaN,NaN,0,0,0,0,1409.871974,558.152043,1522.387399,583.983603,1468.720956,539.23498,,-112.5154253,-25.83156,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,1404.528439,557.163192,1404.268269,556.895514,1406.661877,558.567483,1463.843442,540.865833,1518.6633,583.780324,NaN,NaN,NaN,NaN,0,0,0,0,1405.152862,557.542063,1518.6633,583.780324,1463.843442,540.865833,,-113.5104383,-26.238261,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,1400.533676,557.309206,1400.01261,557.39328,1399.610519,557.314979,1458.670321,542.709407,1514.536595,583.068846,NaN,NaN,NaN,NaN,0,0,0,0,1400.052268,557.339155,1514.536595,583.068846,1458.670321,542.709407,,-114.4843267,-25.729691,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,1394.745435,556.93648,1395.651178,556.895514,1394.099209,556.995572,1453.423298,544.198448,1510.611193,583.018026,NaN,NaN,NaN,NaN,0,0,0,0,1394.831941,556.942522,1510.611193,583.018026,1453.423298,544.198448,,-115.7792523,-26.075504,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,1388.285018,555.751455,1389.065562,556.32316,1389.438639,556.356759,1448.049216,546.142634,1506.081883,583.373765,NaN,NaN,NaN,NaN,0,0,0,0,1388.92974,556.1437913,1506.081883,583.373765,1448.049216,546.142634,,-117.1521433,-27.22997367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,1381.207062,555.569144,1381.807463,554.979241,1383.261533,555.327561,1441.742936,547.375185,1502.055829,583.373765,NaN,NaN,NaN,NaN,0,0,0,0,1382.092019,555.291982,1502.055829,583.373765,1441.742936,547.375185,,-119.9638097,-28.081783,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,1376.21924,554.748741,1376.268387,554.429455,1376.74385,554.198984,1434.85274,550.064387,1498.985963,583.119665,NaN,NaN,NaN,NaN,0,0,0,0,1376.410492,554.45906,1498.985963,583.119665,1434.85274,550.064387,,-122.5754707,-28.660605,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
