frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,873.388521,481.684443,873.521572,482.047588,873.521593,481.925534,904.583125,469.388745,923.216731,485.858812,NaN,NaN,NaN,NaN,180.553265,633.650298,1769.07089,595.444965,873.4772287,481.885855,923.216731,485.858812,904.583125,469.388745,,-49.73950233,-3.972957,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,871.440447,481.990386,871.421312,482.027027,871.394351,482.164007,902.029466,469.612254,921.001083,485.968934,NaN,NaN,NaN,NaN,0,0,0,0,871.4187033,482.0604733,921.001083,485.968934,902.029466,469.612254,,-49.58237967,-3.908460667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,869.285131,481.990386,869.358923,481.906687,869.427381,482.107896,900.520485,470.059273,919.410362,485.803751,NaN,NaN,NaN,NaN,0,0,0,0,869.357145,482.0016563,919.410362,485.803751,900.520485,470.059273,,-50.053217,-3.802094667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,867.288239,482.505682,867.359031,482.327879,867.256428,482.514702,898.953467,470.282783,916.967468,485.913873,NaN,NaN,NaN,NaN,0,0,0,0,867.3012327,482.449421,916.967468,485.913873,898.953467,470.282783,,-49.66623533,-3.464452,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,865.206609,482.576626,865.17165,482.56856,865.47887,482.767203,898.024864,470.282783,915.547181,485.858812,NaN,NaN,NaN,NaN,0,0,0,0,865.2857097,482.637463,915.547181,485.858812,898.024864,470.282783,,-50.26147133,-3.221349,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,862.940764,482.505682,862.984268,482.779157,863.001945,482.584841,897.270374,470.282783,913.558779,485.363264,NaN,NaN,NaN,NaN,0,0,0,0,862.975659,482.6232267,913.558779,485.363264,897.270374,470.282783,,-50.58312,-2.740037333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,860.93282,482.576626,860.765638,482.418135,860.889273,482.584841,895.239054,470.059273,911.229508,485.198082,NaN,NaN,NaN,NaN,0,0,0,0,860.862577,482.526534,911.229508,485.198082,895.239054,470.059273,,-50.366931,-2.671548,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,858.61171,482.34606,858.703249,482.418135,858.64547,482.514702,893.904186,470.394538,909.468352,485.198082,NaN,NaN,NaN,NaN,0,0,0,0,858.6534763,482.426299,909.468352,485.198082,893.904186,470.394538,,-50.81487567,-2.771783,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,856.732717,482.168702,856.953344,482.147368,856.620219,482.472619,892.685395,470.618047,907.252704,485.198082,NaN,NaN,NaN,NaN,0,0,0,0,856.76876,482.2628963,907.252704,485.198082,892.685395,470.618047,,-50.483944,-2.935185667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,854.982674,482.168702,854.890955,482.147368,854.871801,482.472619,890.828188,471.065066,905.54836,485.143021,NaN,NaN,NaN,NaN,0,0,0,0,854.9151433,482.2628963,905.54836,485.143021,890.828188,471.065066,,-50.63321667,-2.880124667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,852.993804,482.126468,852.828567,482.027027,853.050533,482.276229,888.274529,471.567963,903.446335,484.647473,NaN,NaN,NaN,NaN,0,0,0,0,852.9576347,482.1432413,903.446335,484.647473,888.274529,471.567963,,-50.48870033,-2.504231667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,850.752293,482.070414,850.641185,481.906687,850.951097,482.329529,886.243209,471.567963,901.912425,484.922777,NaN,NaN,NaN,NaN,0,0,0,0,850.781525,482.10221,901.912425,484.922777,886.243209,471.567963,,-51.1309,-2.820567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,848.874664,481.888239,848.766286,481.936772,849.034312,482.154961,884.621348,471.342969,900.037646,484.647473,NaN,NaN,NaN,NaN,0,0,0,0,848.891754,481.993324,900.037646,484.647473,884.621348,471.342969,,-51.145892,-2.654149,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,846.327493,481.509875,846.429668,481.497059,846.884406,481.930516,882.725449,470.821447,898.844605,484.977838,NaN,NaN,NaN,NaN,0,0,0,0,846.547189,481.6458167,898.844605,484.977838,882.725449,470.821447,,-52.297416,-3.332021333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
