frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
13,519.073682,620.547535,519.438629,620.149621,513.102867,623.047548,481.947502,630.88314,463.760991,626.094025,NaN,NaN,NaN,NaN,0,0,0,0,517.2050593,621.2482347,463.760991,626.094025,481.947502,630.88314,,53.44406833,-4.845790333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,521.405509,619.823724,521.716541,619.728233,514.280779,623.30284,483.950157,628.142486,465.490535,625.944854,NaN,NaN,NaN,NaN,0,0,0,0,519.1342763,620.951599,465.490535,625.944854,483.950157,628.142486,,53.64374133,-4.993255,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,522.788797,619.749487,523.443275,619.825534,516.757416,623.30284,484.407906,626.261645,467.786113,625.974688,NaN,NaN,450.265407,637.94052,0,0,0,0,520.996496,620.959287,467.786113,625.974688,484.407906,626.261645,,53.210383,-5.015401,34.142499,-11.678875,#VALUE!,#VALUE!,13.49933746,#VALUE!,0.125
16,525.298476,620.083553,525.859242,619.998411,519.143444,623.075913,485.380624,622.768654,469.484211,626.064191,NaN,NaN,NaN,NaN,0,0,0,0,523.4337207,621.0526257,469.484211,626.064191,485.380624,622.768654,,53.94950967,-5.011565333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,527.034576,620.010123,527.193777,620.581872,521.167038,622.792256,487.497716,619.70557,471.150863,626.213362,NaN,NaN,NaN,NaN,0,0,0,0,525.131797,621.1280837,471.150863,626.213362,487.497716,619.70557,,53.980934,-5.085278333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,528.984352,620.653511,528.804422,620.68992,523.006353,623.318686,490.186994,617.341084,472.974746,626.392368,NaN,NaN,NaN,NaN,0,0,0,0,526.931709,621.554039,472.974746,626.392368,490.186994,617.341084,,53.956963,-4.838329,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,531.566489,621.296898,532.117748,621.057284,525.315196,623.444756,493.162366,615.943888,474.54706,626.690712,NaN,NaN,NaN,NaN,0,0,0,0,529.6664777,621.9329793,474.54706,626.690712,493.162366,615.943888,,55.11941767,-4.757732667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,533.964188,622.08876,534.533716,621.33821,527.087099,624.10032,497.625424,615.030337,476.308051,626.839883,NaN,NaN,NaN,NaN,0,0,0,0,531.8616677,622.5090967,476.308051,626.839883,497.625424,615.030337,,55.55361667,-4.330786333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,536.361886,622.608419,536.535517,622.094548,528.724767,625.209737,500.715234,615.030337,478.886644,627.257564,NaN,NaN,NaN,NaN,0,0,0,0,533.8740567,623.3042347,478.886644,627.257564,500.715234,615.030337,,54.98741267,-3.953329333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,538.232618,623.697229,538.238199,623.391127,531.812173,626.218298,503.633387,615.621458,481.150775,627.615576,NaN,NaN,NaN,NaN,0,0,0,0,536.09433,624.4355513,481.150775,627.615576,503.633387,615.621458,,54.943555,-3.180024667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,541.130934,623.91994,541.13736,624.147465,534.389487,626.999932,507.180946,615.728935,483.38346,627.466404,NaN,NaN,NaN,NaN,0,0,0,0,538.885927,625.0224457,483.38346,627.466404,507.180946,615.728935,,55.502467,-2.443958333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,543.554981,624.538581,543.887122,624.412144,536.832565,627.327715,509.526912,616.158842,485.804823,627.85425,NaN,NaN,NaN,NaN,0,0,0,0,541.4248893,625.4261467,485.804823,627.85425,509.526912,616.158842,,55.62006633,-2.428103333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2
25,545.651608,624.963467,545.905115,624.949985,539.087714,628.084135,511.529567,617.341084,488.131846,628.570274,NaN,NaN,NaN,NaN,0,0,0,0,543.5481457,625.9991957,488.131846,628.570274,511.529567,617.341084,,55.41629967,-2.571078333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
26,548.805601,625.462047,548.768484,625.667105,541.450251,628.86577,512.960034,618.254636,491.124863,629.726766,NaN,NaN,NaN,NaN,0,0,0,0,546.3414453,626.664974,491.124863,629.726766,512.960034,618.254636,,55.21658233,-3.061792,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667
27,551.553635,625.960626,551.386421,625.846385,543.410083,629.723047,514.962688,619.38314,493.759887,630.371915,NaN,NaN,NaN,NaN,0,0,0,0,548.7833797,627.176686,493.759887,630.371915,514.962688,619.38314,,55.02349267,-3.195229,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225
28,554.114302,626.077939,554.35887,626.204945,545.83573,630.559805,516.790691,620.12049,495.587404,630.815455,NaN,NaN,NaN,NaN,0,0,0,0,551.4363007,627.6142297,495.587404,630.815455,516.790691,620.12049,,55.84889667,-3.201225333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333
29,556.612515,626.752488,556.267783,626.9989,548.341451,631.142529,518.659835,621.696814,497.202419,631.621891,NaN,NaN,NaN,NaN,0,0,0,0,553.740583,628.2979723,497.202419,631.621891,518.659835,621.696814,,56.538164,-3.323918667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667
30,560.391061,626.987113,559.758366,627.536741,550.53694,631.837316,520.796,622.341674,498.987435,632.549293,NaN,NaN,NaN,NaN,0,0,0,0,556.8954557,628.7870567,498.987435,632.549293,520.796,622.341674,,57.90802067,-3.762236333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25
31,563.264005,626.987113,562.730815,627.434295,553.877902,632.33039,523.466205,623.882172,500.474949,632.912189,NaN,NaN,NaN,NaN,0,0,0,0,559.957574,628.917266,500.474949,632.912189,523.466205,623.882172,,59.482625,-3.994923,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333
32,566.123435,626.796586,NaN,NaN,556.192711,632.33039,525.793099,624.38373,502.72747,633.234764,NaN,NaN,NaN,NaN,0,0,0,0,561.158073,629.563488,502.72747,633.234764,525.793099,624.38373,,58.430603,-3.671276,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667
33,568.205545,626.796586,568.321202,627.536741,559.080256,632.016615,528.310721,625.315194,504.512486,633.678304,NaN,NaN,NaN,NaN,0,0,0,0,565.2023343,628.783314,504.512486,633.678304,528.310721,625.315194,,60.68984833,-4.89499,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275
34,571.476878,626.488534,571.18457,627.203792,561.920074,632.016615,530.294303,626.71239,506.637506,634.162166,NaN,NaN,NaN,NaN,0,0,0,0,568.1938407,628.569647,506.637506,634.162166,530.294303,626.71239,,61.55633467,-5.592519,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.283333333
35,574.193684,626.899129,573.720697,627.101346,564.759891,631.747666,532.964508,627.142296,508.932527,634.605706,NaN,NaN,NaN,NaN,0,0,0,0,570.891424,628.5827137,508.932527,634.605706,532.964508,627.142296,,61.958897,-6.022992333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667
36,576.816807,626.987113,576.934368,626.864858,567.325038,631.62374,535.329548,628.252888,511.355049,635.210533,NaN,NaN,NaN,NaN,0,0,0,0,573.692071,628.4919037,511.355049,635.210533,535.329548,628.252888,,62.337022,-6.718629333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3
37,579.658524,627.104426,580.037108,626.864858,569.785682,631.836244,538.152337,628.933574,513.031816,635.680238,NaN,NaN,NaN,NaN,0,0,0,0,576.4937713,628.6018427,513.031816,635.680238,538.152337,628.933574,,63.46195533,-7.078395333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.308333333
38,581.750776,626.8698,582.146002,626.955921,573.094825,631.012793,541.509167,629.506782,514.969837,636.175266,NaN,NaN,NaN,NaN,0,0,0,0,578.997201,628.2795047,514.969837,636.175266,541.509167,629.506782,,64.027364,-7.895761333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667
39,583.936712,626.987113,583.721612,626.955921,575.838303,630.694038,544.484539,629.506782,516.386084,636.528858,NaN,NaN,NaN,NaN,0,0,0,0,581.1655423,628.2123573,516.386084,636.528858,544.484539,629.506782,,64.77945833,-8.316500667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.325
40,586.653518,626.371221,586.48499,626.682732,578.440364,630.906542,547.404481,630.697266,518.398645,636.811732,NaN,NaN,NaN,NaN,0,0,0,0,583.859624,627.9868317,518.398645,636.811732,547.404481,630.697266,,65.460979,-8.824900333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.333333333
41,589.953065,625.565662,589.56349,625.453383,581.60809,629.897151,550.184885,631.270475,520.448475,636.91781,NaN,NaN,NaN,NaN,0,0,0,0,587.0415483,626.9720653,520.448475,636.91781,550.184885,631.270475,,66.59307333,-9.945744667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.341666667
42,592.432772,625.426624,591.599664,625.567211,583.899035,629.631522,553.880789,631.015716,522.349227,636.988528,530.605406,622.760363,NaN,NaN,0,0,0,0,589.3104903,626.875119,522.349227,636.988528,553.880789,631.015716,,66.96126333,-10.113409,#VALUE!,#VALUE!,23.275383,8.255353,#VALUE!,28.11734741,0.35
43,595.504648,624.627159,594.460002,625.658274,587.123329,628.276813,555.983046,630.697266,524.436328,637.129965,NaN,NaN,NaN,NaN,0,0,0,0,592.3626597,626.1874153,524.436328,637.129965,555.983046,630.697266,,67.92633167,-10.94254967,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.358333333
44,598.502503,623.897213,598.144506,624.064673,588.679382,627.508477,559.407691,630.315127,526.076192,636.91781,NaN,NaN,NaN,NaN,0,0,0,0,595.108797,625.1567877,526.076192,636.91781,559.407691,630.315127,,69.032605,-11.76102233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.366666667
45,601.167263,623.410582,601.533283,623.03622,591.645983,626.564018,561.306504,629.710074,528.349641,636.564218,NaN,NaN,NaN,NaN,0,0,0,0,598.1155097,624.33694,528.349641,636.564218,561.306504,629.710074,,69.76586867,-12.227278,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.375
46,603.572949,622.263523,604.1189,621.670276,594.160052,625.855673,565.993546,630.530143,529.989505,636.316703,NaN,NaN,NaN,NaN,0,0,0,0,600.6173003,623.2631573,529.989505,636.316703,565.993546,630.530143,,70.62779533,-13.05354567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.383333333
47,606.163687,621.776892,605.928832,621.427442,596.472995,625.64317,568.977395,630.530143,532.337493,635.892393,NaN,NaN,NaN,NaN,0,0,0,0,602.8551713,622.949168,532.337493,635.892393,568.977395,630.530143,,70.51767833,-12.943225,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.391666667
48,607.644109,620.977427,608.191247,620.790001,598.911642,624.911214,572.548972,630.869822,534.74857,635.83794,NaN,NaN,NaN,NaN,0,0,0,0,604.915666,622.226214,534.74857,635.83794,572.548972,630.869822,,70.167096,-13.611726,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.4
49,610.234848,621.429299,611.423268,620.63823,602.003946,624.698711,575.532821,631.039661,537.163275,635.726187,NaN,NaN,NaN,NaN,0,0,0,0,607.887354,622.2554133,537.163275,635.726187,575.532821,631.039661,,70.724079,-13.47077367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.408333333
50,613.158682,620.699352,613.556402,620.000789,604.744281,623.872309,578.109781,630.742442,539.136266,635.335054,NaN,NaN,NaN,NaN,0,0,0,0,610.486455,621.52415,539.136266,635.335054,578.109781,630.742442,,71.350189,-13.810904,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.416666667
51,616.045505,619.482775,615.689536,619.849018,607.055665,623.335219,581.636148,630.869822,541.492075,634.748353,NaN,NaN,NaN,NaN,0,0,0,0,612.9302353,620.889004,541.492075,634.748353,581.636148,630.869822,,71.43816033,-13.859349,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.425
52,618.932328,619.169941,618.501394,619.424058,609.670296,623.618557,585.569403,629.553565,543.641752,633.966085,NaN,NaN,NaN,NaN,0,0,0,0,615.7013393,620.7375187,543.641752,633.966085,585.569403,629.553565,,72.05958733,-13.22856633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.433333333
53,621.226983,618.439994,620.763809,618.908034,612.486053,622.800025,587.965524,628.661907,545.879771,633.602889,NaN,NaN,NaN,NaN,0,0,0,0,618.1589483,620.049351,545.879771,633.602889,587.965524,628.661907,,72.27917733,-13.553538,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.441666667
54,623.521637,618.579032,622.056618,619.424058,614.664913,623.051881,590.316436,627.557949,547.49939,632.820622,NaN,NaN,NaN,NaN,0,0,0,0,620.081056,620.351657,547.49939,632.820622,590.316436,627.557949,,72.581666,-12.468965,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.45
55,626.889597,617.953363,625.611841,618.6652,617.346586,622.516687,593.707173,625.350034,550.238019,632.178045,NaN,NaN,NaN,NaN,0,0,0,0,623.2826747,619.71175,550.238019,632.178045,593.707173,625.350034,,73.04465567,-12.466295,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.458333333
56,629.480336,617.397214,628.4225,618.536993,620.262906,621.698156,596.284133,623.311959,552.799962,631.20021,NaN,NaN,NaN,NaN,0,0,0,0,626.0552473,619.2107877,552.799962,631.20021,596.284133,623.311959,,73.25528533,-11.98942233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.466666667
57,631.293853,617.640529,630.146245,618.501018,622.003318,621.909828,598.228156,620.127466,555.361906,629.970932,NaN,NaN,551.674099,629.208518,0,0,0,0,627.814472,619.3504583,555.361906,629.970932,598.228156,620.127466,,72.452566,-10.62047367,46.554057,-9.081052,#VALUE!,#VALUE!,2.698456858,#VALUE!,0.475
58,634.080872,617.387418,633.478818,618.033337,624.357231,621.909828,600.443438,617.367573,557.814362,628.785952,NaN,NaN,NaN,NaN,0,0,0,0,630.6389737,619.1101943,557.814362,628.785952,600.443438,617.367573,,72.82461167,-9.675757667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.483333333
59,636.581141,617.346222,636.160198,618.177239,626.681348,621.909828,602.975188,613.121582,559.514973,628.462475,NaN,NaN,NaN,NaN,0,0,0,0,633.1408957,619.1444297,559.514973,628.462475,602.975188,613.121582,,73.62592267,-9.318045333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.491666667
60,638.555037,617.881774,638.650052,617.889435,629.065058,621.909828,605.506939,610.913667,562.177647,627.634931,NaN,NaN,NaN,NaN,0,0,0,0,635.4233823,619.2270123,562.177647,627.634931,605.506939,610.913667,,73.24573533,-8.407918667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.5
61,642.327372,617.881774,642.212457,618.177239,632.402251,621.797893,608.642646,609.625788,563.784434,627.547822,NaN,NaN,NaN,NaN,0,0,0,0,638.9806933,619.2856353,563.784434,627.547822,608.642646,609.625788,,75.19625933,-8.262186667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.508333333
62,645.661063,618.458521,645.391808,618.501018,634.785961,622.525476,611.455702,609.286109,564.518964,625.718515,NaN,NaN,NaN,NaN,0,0,0,0,641.9462773,619.8283383,564.518964,625.718515,611.455702,609.286109,,77.42731333,-5.890176667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.516666667
63,648.336789,618.952877,647.575218,619.43638,638.123154,622.917252,614.469691,608.304814,567.41118,626.0234,NaN,NaN,NaN,NaN,0,0,0,0,644.678387,620.435503,567.41118,626.0234,614.469691,608.304814,,77.267207,-5.587897,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.525
64,650.793193,619.200054,650.716264,619.76016,641.668922,623.029188,618.006104,608.304814,569.568864,626.633168,NaN,NaN,NaN,NaN,0,0,0,0,647.7261263,620.663134,569.568864,626.633168,618.006104,608.304814,,78.15726233,-5.970034,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.533333333
65,653.907563,620.229961,653.742393,620.407718,645.333875,623.616851,621.301399,607.965135,571.818365,626.938053,NaN,NaN,NaN,NaN,0,0,0,0,650.9946103,621.4181767,571.818365,626.938053,621.301399,607.965135,,79.17624533,-5.519876333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.541666667
66,657.328983,620.559531,657.113272,620.695522,648.969033,624.204515,625.038745,608.984172,574.894212,626.763833,NaN,NaN,NaN,NaN,0,0,0,0,654.4704293,621.819856,574.894212,626.763833,625.038745,608.984172,,79.57621733,-4.943977,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55
67,660.399488,621.34226,661.389987,620.831265,652.246633,624.59629,628.21348,610.305147,579.785934,626.582906,NaN,NaN,NaN,NaN,0,0,0,0,658.012036,622.256605,579.785934,626.582906,628.21348,610.305147,,78.226102,-4.326301,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.558333333
68,664.04023,621.836616,664.828964,621.406872,655.008118,625.250172,631.508774,611.437411,584.124257,626.28891,NaN,NaN,NaN,NaN,0,0,0,0,661.2924373,622.83122,584.124257,626.28891,631.508774,611.437411,,77.16818033,-3.45769,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.566666667
69,667.330057,622.413363,667.621004,622.526109,657.895055,625.822288,634.522763,612.116769,587.739526,626.092913,NaN,NaN,NaN,NaN,0,0,0,0,664.2820387,623.5872533,587.739526,626.092913,634.522763,612.116769,,76.54251267,-2.505659667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.575
70,670.926934,622.413363,670.719488,622.781935,661.497105,626.469029,637.335819,613.437744,592.336082,625.945915,NaN,NaN,NaN,NaN,0,0,0,0,667.714509,623.888109,592.336082,625.945915,637.335819,613.437744,,75.378427,-2.057806,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.583333333
71,675.181777,622.578149,675.384239,622.654022,664.940241,626.891898,639.626451,614.41904,594.608537,626.435908,NaN,NaN,NaN,NaN,0,0,0,0,671.835419,624.0413563,594.608537,626.435908,639.626451,614.41904,,77.226882,-2.394551667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.591666667
72,679.313122,622.743924,678.959413,623.453477,668.436348,627.339642,642.439507,615.551304,598.327099,626.631905,NaN,NaN,NaN,NaN,0,0,0,0,675.5696277,624.5123477,598.327099,626.631905,642.439507,615.551304,,77.24252867,-2.119557333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.6
73,682.549337,622.487591,682.670784,623.645346,672.356226,627.663012,645.574055,617.211958,600.134733,626.729903,NaN,NaN,NaN,NaN,0,0,0,0,679.1921157,624.5986497,600.134733,626.729903,645.574055,617.211958,,79.05738267,-2.131253333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.608333333
74,685.746561,623.256588,685.394726,623.901172,675.852334,627.663012,648.588044,618.344222,602.820362,627.121898,NaN,NaN,NaN,NaN,0,0,0,0,682.331207,624.9402573,602.820362,627.121898,648.588044,618.344222,,79.510845,-2.181640667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.616666667
75,688.280947,623.403064,687.914373,624.061063,678.871699,627.986383,651.873789,620.071341,606.487277,627.66089,NaN,NaN,NaN,NaN,0,0,0,0,685.0223397,625.15017,606.487277,627.66089,651.873789,620.071341,,78.53506267,-2.51072,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.625
76,691.556152,623.54954,691.35335,624.061063,682.791577,627.588388,655.267317,621.077798,609.431139,627.758888,NaN,NaN,NaN,NaN,0,0,0,0,688.5670263,625.0663303,609.431139,627.758888,655.267317,621.077798,,79.13588733,-2.692557667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.633333333
77,695.533188,622.780543,695.259704,623.182922,685.701538,627.628328,659.05378,621.648124,612.116768,627.562891,NaN,NaN,NaN,NaN,0,0,0,0,692.16481,624.5305977,612.116768,627.562891,659.05378,621.648124,,80.048042,-3.032293333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.641666667
78,699.237289,622.414353,698.86136,622.813396,689.40953,627.628328,662.840243,622.419741,614.389222,627.66089,NaN,NaN,NaN,NaN,0,0,0,0,695.8360597,624.285359,614.389222,627.66089,662.840243,622.419741,,81.44683767,-3.375531,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.65
79,702.668457,622.121402,702.281421,622.585995,692.623124,626.931837,666.590984,623.292004,616.764971,628.493877,NaN,NaN,NaN,NaN,0,0,0,0,699.1910007,623.8797447,616.764971,628.493877,666.590984,623.292004,,82.42602967,-4.614132333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.658333333
