frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,494.698223,624.904805,494.966203,624.595325,488.856066,627.101981,457.442452,633.516863,444.410558,627.650652,NaN,NaN,NaN,NaN,21.017734,689.47615,1765.277545,674.841595,492.840164,625.534037,444.410558,627.650652,457.442452,633.516863,,48.429606,-2.116615,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,496.521198,624.54986,497.645338,624.10303,490.622935,626.910512,459.695438,635.088709,445.542624,627.784907,NaN,NaN,NaN,NaN,0,0,0,0,494.9298237,625.1878007,445.542624,627.784907,459.695438,635.088709,,49.38719967,-2.597106333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,498.788802,624.194914,500.062384,623.884232,492.706934,626.910512,461.433456,636.418732,446.886951,627.784907,NaN,NaN,NaN,NaN,0,0,0,0,497.18604,624.9965527,446.886951,627.784907,461.433456,636.418732,,50.299089,-2.788354333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,500.900785,623.923485,502.246462,623.638085,494.790933,626.612671,463.428958,637.204655,448.089771,627.784907,NaN,NaN,NaN,NaN,0,0,0,0,499.3127267,624.724747,448.089771,627.784907,463.428958,637.204655,,51.22295567,-3.06016,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,502.590372,623.631176,503.906361,623.528686,496.557802,626.251008,465.360089,637.990578,449.390048,627.973588,NaN,NaN,NaN,NaN,0,0,0,0,501.0181783,624.47029,449.390048,627.973588,465.360089,637.990578,,51.62813033,-3.503298,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,505.280372,623.088318,505.537139,623.173139,498.61915,625.697875,466.71188,638.2324,451.025254,627.884085,NaN,NaN,NaN,NaN,0,0,0,0,503.1455537,623.986444,451.025254,627.884085,466.71188,638.2324,,52.12029967,-3.897641,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,506.947728,622.733373,507.313522,622.790243,500.521932,625.421309,469.874358,638.997625,452.849137,627.675244,NaN,NaN,NaN,NaN,0,0,0,0,504.9277273,623.6483083,452.849137,627.675244,469.874358,638.997625,,52.07859033,-4.026935667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,508.615083,622.54546,509.002542,622.297948,502.832453,624.783079,473.479136,639.212579,454.610128,627.138226,NaN,NaN,NaN,NaN,0,0,0,0,506.8166927,623.208829,454.610128,627.138226,473.479136,639.212579,,52.20656467,-3.929397,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,510.171282,621.814689,509.774759,621.867589,504.010365,624.208672,475.48179,639.212579,456.119548,627.018889,NaN,NaN,NaN,NaN,0,0,0,0,507.9854687,622.6303167,456.119548,627.018889,475.48179,639.212579,,51.86592067,-4.388572333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,511.72748,621.919085,511.914616,622.159319,506.095796,623.898521,477.713319,638.245289,457.911986,626.780215,NaN,NaN,NaN,NaN,0,0,0,0,509.9126307,622.658975,457.911986,626.780215,477.713319,638.245289,,52.00064467,-4.12124,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,514.061778,621.355348,513.709335,621.543444,507.817361,623.586497,479.487099,637.009308,459.232729,626.422203,NaN,NaN,NaN,NaN,0,0,0,0,511.8628247,622.161763,459.232729,626.422203,479.487099,637.009308,,52.63009567,-4.26044,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,515.884753,620.749852,515.676623,621.186884,509.116085,623.558131,480.402598,634.322392,460.584918,626.302865,NaN,NaN,NaN,NaN,0,0,0,0,513.5591537,621.8316223,460.584918,626.302865,480.402598,634.322392,,52.97423567,-4.471242667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,517.30891,620.354222,517.747452,620.408937,511.230287,623.189376,481.203659,632.602766,462.597479,626.183528,NaN,NaN,NaN,NaN,0,0,0,0,515.428883,621.3175117,462.597479,626.183528,481.203659,632.602766,,52.831404,-4.866016333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
