frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,910.939196,334.893216,910.57673,334.728701,910.420388,334.549409,927.298621,343.404031,982.911366,333.032351,NaN,NaN,NaN,NaN,22.290418,657.107083,1699.79776,654.232355,910.645438,334.7237753,982.911366,333.032351,927.298621,343.404031,,-72.265928,1.691424333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,907.436545,334.121473,906.936084,333.757601,907.081823,334.174711,925.077857,344.181857,978.712682,333.399423,NaN,NaN,NaN,NaN,0,0,0,0,907.151484,334.0179283,978.712682,333.399423,925.077857,344.181857,,-71.561198,0.618505333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,904.42676,333.536196,903.714505,332.9857,903.604151,333.403272,921.493467,345.330077,975.835806,333.913325,NaN,NaN,NaN,NaN,0,0,0,0,903.9151387,333.3083893,975.835806,333.913325,921.493467,345.330077,,-71.92066733,-0.604935667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,901.530983,332.495705,900.85961,332.1391,901.285702,332.455504,919.272704,345.18192,972.997807,334.170275,NaN,NaN,NaN,NaN,0,0,0,0,901.2254317,332.3634363,972.997807,334.170275,919.272704,345.18192,,-71.77237533,-1.806838667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,898.475596,331.455213,897.76899,331.292499,897.923449,331.526863,915.337667,345.478235,968.993506,334.280397,NaN,NaN,NaN,NaN,0,0,0,0,898.0560117,331.4248583,968.993506,334.280397,915.337667,345.478235,,-70.93749433,-2.855538667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,895.579819,330.674844,893.840236,330.271598,894.790968,330.762771,912.805218,344.515211,966.46652,333.986739,NaN,NaN,NaN,NaN,0,0,0,0,894.7370077,330.5697377,966.46652,333.986739,912.805218,344.515211,,-71.72951233,-3.417001333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,892.66124,330.306336,891.054297,329.699561,890.83415,329.802759,908.839692,343.877871,962.384466,333.876617,NaN,NaN,NaN,NaN,0,0,0,0,891.5165623,329.9362187,962.384466,333.876617,908.839692,343.877871,,-70.86790367,-3.940398333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,890.175888,329.916152,889.005524,329.633161,887.763494,329.019075,905.480409,343.384013,960.129618,333.876617,NaN,NaN,NaN,NaN,0,0,0,0,888.9816353,329.522796,960.129618,333.876617,905.480409,343.384013,,-71.14798267,-4.353821,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,887.074899,329.916152,885.955647,329.433961,885.311091,329.25418,904.579983,342.034134,957.252742,333.656374,NaN,NaN,NaN,NaN,0,0,0,0,886.113879,329.5347643,957.252742,333.656374,904.579983,342.034134,,-71.138863,-4.121609667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,885.350378,330.117566,882.696236,329.146228,882.776255,329.62643,901.670912,341.046418,954.602517,333.351738,NaN,NaN,NaN,NaN,0,0,0,0,883.607623,329.6300747,954.602517,333.351738,901.670912,341.046418,,-70.994894,-3.721663333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,881.837274,329.886346,880.042144,329.323294,880.014726,329.175812,898.173102,338.873442,952.788271,333.547509,NaN,NaN,NaN,NaN,0,0,0,0,880.6313813,329.4618173,952.788271,333.547509,898.173102,338.873442,,-72.15688967,-4.085691667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
