frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1305.631886,335.334365,1305.603618,335.413208,1306.166719,335.265491,1321.351575,344.057626,1396.749817,309.50762,NaN,NaN,NaN,NaN,109.039965,649.307591,1816.230478,605.667089,1305.800741,335.337688,1396.749817,309.50762,1321.351575,344.057626,,-90.949076,25.830068,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1303.245324,335.780923,1303.384942,335.946337,1303.456208,335.875764,1316.548202,345.609179,1395.238664,311.357784,NaN,NaN,NaN,NaN,0,0,0,0,1303.362158,335.8676747,1395.238664,311.357784,1316.548202,345.609179,,-91.876506,24.50989067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1300.564238,336.443807,1300.64217,336.66273,1300.803442,336.536421,1314.212218,346.322859,1393.223793,312.574997,NaN,NaN,NaN,NaN,0,0,0,0,1300.66995,336.5476527,1393.223793,312.574997,1314.212218,346.322859,,-92.553843,23.97265567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1298.14133,336.443807,1298.248795,336.66273,1298.201366,336.649216,1310.855022,346.913927,1391.259294,314.425161,NaN,NaN,NaN,NaN,0,0,0,0,1298.197164,336.585251,1391.259294,314.425161,1310.855022,346.913927,,-93.06213033,22.16009,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1295.619124,336.690022,1295.366263,337.1792,1295.633083,337.164851,1309.925337,347.160205,1389.093308,315.058112,NaN,NaN,NaN,NaN,0,0,0,0,1295.53949,337.0113577,1389.093308,315.058112,1309.925337,347.160205,,-93.553818,21.95324567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1292.48126,337.258208,1292.378912,337.595707,1292.551206,337.267436,1307.394528,346.372115,1387.229553,315.78844,NaN,NaN,NaN,NaN,0,0,0,0,1292.470459,337.3737837,1387.229553,315.78844,1307.394528,346.372115,,-94.75909367,21.58534367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1290.458005,337.664966,1290.419818,337.95045,1290.877956,337.513583,1304.863718,346.027325,1385.063567,316.567456,NaN,NaN,NaN,NaN,0,0,0,0,1290.58526,337.7096663,1385.063567,316.567456,1304.863718,346.027325,,-94.47830733,21.14221033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1288.357269,338.372043,1288.571892,338.394725,1288.928798,338.048315,1301.093329,344.15561,1383.552414,316.762211,NaN,NaN,NaN,NaN,0,0,0,0,1288.61932,338.2716943,1383.552414,316.762211,1301.093329,344.15561,,-94.93309433,21.50948333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1286.450719,338.826592,1286.397862,338.572435,1286.757133,338.523632,1296.393254,341.54506,1381.839774,317.589915,NaN,NaN,NaN,NaN,0,0,0,0,1286.535238,338.6408863,1381.839774,317.589915,1296.393254,341.54506,,-95.304536,21.05097133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1283.838039,339.483163,1283.959841,339.386939,1284.451964,339.236608,1294.275638,340.855481,1379.522673,318.271555,NaN,NaN,NaN,NaN,0,0,0,0,1284.083281,339.3689033,1379.522673,318.271555,1294.275638,340.855481,,-95.43939167,21.09734833,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
