frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,tipupx,tipupy,tipdownx,tipdowny,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,327.746067,288.339897,326.470356,288.346493,327.22996,288.202514,297.952806,276.247848,285.401926,303.846716,NaN,NaN,NaN,NaN,60.670627,572.868074,1746.902735,551.801419,327.1487943,288.2963013,285.401926,303.846716,297.952806,276.247848,,41.74686833,-15.55041467,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,328.939478,288.915186,328.542875,288.56157,329.274849,288.432008,300.893448,276.034573,286.646727,303.500894,NaN,NaN,NaN,NaN,0,0,0,0,328.9190673,288.6362547,286.646727,303.500894,300.893448,276.034573,,42.27234033,-14.86463933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,330.402369,290.029809,330.246946,289.464893,330.660745,289.187075,302.853876,276.247848,288.29488,303.263378,NaN,NaN,NaN,NaN,0,0,0,0,330.4366867,289.5605923,288.29488,303.263378,302.853876,276.247848,,42.14180667,-13.70278567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,331.364797,290.605098,330.919367,290.258503,331.469185,290.661253,304.542023,276.567761,289.584738,303.229447,NaN,NaN,NaN,NaN,0,0,0,0,331.2511163,290.5082847,289.584738,303.229447,304.542023,276.567761,,41.66637833,-12.72116233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,333.405145,291.180387,332.94583,291.061457,333.086064,291.09272,306.829189,276.781037,290.408815,302.991931,NaN,NaN,NaN,NaN,0,0,0,0,333.1456797,291.1115213,290.408815,302.991931,306.829189,276.781037,,42.73686467,-11.88040967,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,335.253007,291.935453,335.34074,291.367344,335.511383,291.488231,308.571792,276.781037,291.591185,302.482968,NaN,NaN,NaN,NaN,0,0,0,0,335.3683767,291.5970093,291.591185,302.482968,308.571792,276.781037,,43.77719167,-10.88595867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,336.446418,292.510742,336.527961,292.380595,336.704794,292.171386,310.259938,276.567761,292.881044,302.007936,NaN,NaN,NaN,NaN,0,0,0,0,336.5597243,292.354241,292.881044,302.007936,310.259938,276.567761,,43.67868033,-9.653695,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,338.83324,293.445587,338.349731,293.35561,338.321674,293.35792,312.329279,276.354486,293.74095,301.295387,NaN,NaN,NaN,NaN,0,0,0,0,338.5015483,293.3863723,293.74095,301.295387,312.329279,276.354486,,44.76059833,-7.909014667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,340.296131,294.380432,340.273847,294.082092,340.78549,293.897253,313.690687,275.448065,294.672514,300.888216,NaN,NaN,NaN,NaN,0,0,0,0,340.4518227,294.1199257,294.672514,300.888216,313.690687,275.448065,,45.77930867,-6.768290333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,341.104571,294.775943,341.440598,294.674748,341.59393,294.508498,315.43329,275.661341,296.499814,300.345322,NaN,NaN,NaN,NaN,0,0,0,0,341.3796997,294.653063,296.499814,300.345322,315.43329,275.661341,,44.87988567,-5.692259,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,343.914861,295.53101,343.442165,295.47937,343.59578,295.407387,316.576873,275.448065,298.147967,300.141737,NaN,NaN,NaN,NaN,0,0,0,0,343.6509353,295.472589,298.147967,300.141737,316.576873,275.448065,,45.50296833,-4.669148,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,345.53174,296.250121,345.370829,296.363044,345.636128,296.378187,319.190777,274.914877,299.903608,299.632774,NaN,NaN,NaN,NaN,0,0,0,0,345.512899,296.3304507,299.903608,299.632774,319.190777,274.914877,,45.609291,-3.302323333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,346.956134,297.400699,346.699061,297.076781,347.253007,297.456854,319.408602,276.567761,301.659249,299.293465,NaN,NaN,NaN,NaN,0,0,0,0,346.9694007,297.3114447,301.659249,299.293465,319.408602,276.567761,,45.31015167,-1.982020333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,348.149545,297.436654,348.322166,297.278093,348.638904,297.456854,321.477943,276.781037,304.131478,298.818433,NaN,NaN,NaN,NaN,0,0,0,0,348.370205,297.3905337,304.131478,298.818433,321.477943,276.781037,,44.238727,-1.427899333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,349.95891,298.155766,350.117402,298.11645,350.486766,297.708543,323.656196,277.900733,305.385507,298.479124,NaN,NaN,NaN,NaN,0,0,0,0,350.1876927,297.9935863,305.385507,298.479124,323.656196,277.900733,,44.80218567,-0.485537667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,352.576714,298.731055,352.907294,297.957842,353.297056,298.068098,325.725537,278.487241,307.499443,297.970161,NaN,NaN,NaN,NaN,0,0,0,0,352.9270213,298.2523317,307.499443,297.970161,325.725537,278.487241,,45.42757833,0.282170667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,354.039605,298.910832,354.799569,298.592275,354.528964,298.46361,326.86912,278.220646,308.753472,297.868368,NaN,NaN,NaN,NaN,0,0,0,0,354.456046,298.6555723,308.753472,297.868368,326.86912,278.220646,,45.702574,0.787204333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,355.730474,299.400303,356.837404,299.385315,357.378494,299.402091,329.973131,279.020429,309.885156,297.970747,NaN,NaN,NaN,NaN,0,0,0,0,356.6487907,299.395903,309.885156,297.970747,329.973131,279.020429,,46.76363467,1.425156,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,357.646775,300.082127,358.14744,300.019748,358.473524,299.434052,331.661278,278.807154,311.376364,297.688309,NaN,NaN,NaN,NaN,0,0,0,0,358.0892463,299.845309,311.376364,297.688309,331.661278,278.807154,,46.71288233,2.157,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,360.064965,300.550881,360.816033,300.472914,360.629363,300.58463,332.913773,279.606937,313.255286,297.518846,NaN,NaN,NaN,NaN,0,0,0,0,360.5034537,300.5361417,313.255286,297.518846,332.913773,279.606937,,47.24816767,3.017295667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,362.209398,301.445775,362.760145,300.976008,363.0289,300.729481,335.20094,278.807154,314.895615,297.40587,NaN,NaN,NaN,NaN,0,0,0,0,362.6661477,301.0504213,314.895615,297.40587,335.20094,278.807154,,47.77053267,3.644551333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,364.627588,301.658845,364.636246,301.247908,364.146461,300.864162,337.978213,279.020429,316.446472,297.518846,NaN,NaN,NaN,NaN,0,0,0,0,364.4700983,301.2569717,316.446472,297.518846,337.978213,279.020429,,48.02362633,3.738125667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,365.311981,302.553738,366.803467,301.701074,366.417633,301.874272,339.666359,279.340342,318.027153,297.518846,NaN,NaN,NaN,NaN,0,0,0,0,366.1776937,302.043028,318.027153,297.518846,339.666359,279.340342,,48.15054067,4.524182,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,367.730171,302.340668,369.52058,302.033396,369.842417,302.042624,342.280263,280.513358,319.488537,297.377627,NaN,NaN,NaN,NaN,0,0,0,0,369.031056,302.138896,319.488537,297.377627,342.280263,280.513358,,49.542519,4.761269,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,370.832754,303.235562,371.429028,302.033396,371.392582,302.042624,343.905704,280.073618,320.890272,297.40587,NaN,NaN,NaN,NaN,0,0,0,0,371.2181213,302.437194,320.890272,297.40587,343.905704,280.073618,,50.32784933,5.031324,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2
25,373.022813,303.448632,372.593505,303.181416,372.510142,302.918052,345.968178,280.184574,322.59025,297.40587,NaN,NaN,NaN,NaN,0,0,0,0,372.70882,303.1827,322.59025,297.40587,345.968178,280.184574,,50.11857,5.77683,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
