frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
17,965.948913,472.122973,967.68152,472.913706,967.798062,473.259527,991.476661,489.139571,1051.075955,491.795979,NaN,NaN,NaN,NaN,0,0,0,0,967.1428317,472.765402,1051.075955,491.795979,991.476661,489.139571,,-83.93312333,-19.030577,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,963.874165,471.510637,965.481261,472.6767,965.862337,472.766549,988.310282,486.805443,1048.785796,491.795979,NaN,NaN,NaN,NaN,0,0,0,0,965.0725877,472.317962,1048.785796,491.795979,988.310282,486.805443,,-83.71320833,-19.478017,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,961.874408,471.034376,963.539623,471.893769,963.841712,471.965461,985.374784,485.06981,1047.698549,490.784915,NaN,NaN,NaN,NaN,0,0,0,0,963.0852477,471.631202,1047.698549,490.784915,985.374784,485.06981,,-84.61330133,-19.153713,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,959.599684,470.308646,961.631176,471.156006,961.770146,471.148966,983.428781,481.927715,1045.986713,489.538721,NaN,NaN,NaN,NaN,0,0,0,0,961.0003353,470.871206,1045.986713,489.538721,983.428781,481.927715,,-84.98637767,-18.667515,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,957.8249,470.308646,959.241468,470.629033,959.882834,470.691411,980.790131,478.546222,1043.881618,488.386579,NaN,NaN,NaN,NaN,0,0,0,0,958.9830673,470.54303,1043.881618,488.386579,980.790131,478.546222,,-84.89855067,-17.843549,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,955.550176,469.650952,957.432592,470.252623,958.041443,470.458616,979.635722,476.182169,1040.897471,487.352003,NaN,NaN,NaN,NaN,0,0,0,0,957.0080703,470.1207303,1040.897471,487.352003,979.635722,476.182169,,-83.88940067,-17.23127267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,953.475428,469.650952,955.242027,470.041834,955.867997,470.020413,978.778161,472.471505,1039.133123,486.430749,NaN,NaN,NaN,NaN,0,0,0,0,954.8618173,469.9043997,1039.133123,486.430749,978.778161,472.471505,,-84.27130567,-16.52634933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,950.750759,469.333445,953.166036,469.595086,953.543617,469.965638,978.217448,468.581292,1037.05116,485.425564,NaN,NaN,1010.968814,494.442497,0,0,0,0,952.486804,469.6313897,1037.05116,485.425564,978.217448,468.581292,,-84.564356,-15.79417433,-32.751366,-25.861205,#VALUE!,#VALUE!,27.71610102,#VALUE!,0.2
25,948.551026,469.560236,950.481303,469.2605,951.023024,469.500048,977.623752,465.169874,1035.09932,484.737806,NaN,NaN,NaN,NaN,0,0,0,0,950.018451,469.4402613,1035.09932,484.737806,977.623752,465.169874,,-85.080869,-15.29754467,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
26,946.151317,469.356124,948.475128,469.474635,948.517524,469.486354,976.075247,462.596551,1032.731088,484.579093,NaN,NaN,NaN,NaN,0,0,0,0,947.7146563,469.4390377,1032.731088,484.579093,976.075247,462.596551,,-85.01643167,-15.14005533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667
27,943.851597,469.333445,945.834649,469.367567,945.498849,469.54113,974.931833,458.766187,1030.206708,483.997144,NaN,NaN,NaN,NaN,0,0,0,0,945.0616983,469.4140473,1030.206708,483.997144,974.931833,458.766187,,-85.14500967,-14.58309667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225
28,940.676982,469.514877,943.636708,469.434484,943.514899,469.660717,972.343096,458.65062,1027.448107,484.0765,NaN,NaN,NaN,NaN,0,0,0,0,942.6095297,469.5366927,1027.448107,484.0765,972.343096,458.65062,,-84.83857733,-14.53980733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333
29,938.021491,469.673758,941.056056,469.693108,940.670636,470.06646,971.740803,456.296706,1023.986845,483.997144,NaN,NaN,NaN,NaN,0,0,0,0,939.916061,469.8111087,1023.986845,483.997144,971.740803,456.296706,,-84.070784,-14.18603533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667
30,935.555124,469.915668,938.118912,470.348732,937.880039,470.06646,968.683011,452.933973,1021.540538,484.182309,NaN,NaN,NaN,NaN,0,0,0,0,937.1846917,470.1102867,1021.540538,484.182309,968.683011,452.933973,,-84.35584633,-14.07202233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25
