frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time,,,
11,975.611453,369.321779,975.196839,369.145844,974.745712,369.085543,999.628955,374.156082,1079.963746,394.346954,NaN,NaN,NaN,NaN,0,0,0,0,975.184668,369.1843887,1079.963746,394.346954,999.628955,374.156082,,-104.779078,-25.16256533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667,,,
12,973.063641,368.936676,972.659645,368.41371,971.834239,368.577635,999.628955,373.157156,1077.160426,392.704592,NaN,NaN,NaN,NaN,0,0,0,0,972.519175,368.6426737,1077.160426,392.704592,999.628955,373.157156,,-104.641251,-24.06191833,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1,,,
13,970.30642,368.761629,970.576782,368.331403,968.365789,368.399867,997.948463,368.537125,1074.27701,391.52546,NaN,NaN,NaN,NaN,0,0,0,0,969.7496637,368.497633,1074.27701,391.52546,997.948463,368.537125,,-104.5273463,-23.027827,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333,,,
14,966.884821,368.310622,965.541013,367.680617,965.175828,368.145913,996.579172,364.978452,1070.99312,390.346329,NaN,NaN,NaN,NaN,0,0,0,0,965.8672207,368.0457173,1070.99312,390.346329,996.579172,364.978452,,-105.1258993,-22.30061167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667,,,
15,962.696637,367.983867,962.420689,367.680617,962.517527,368.145913,994.400757,362.356272,1067.829372,389.588316,NaN,NaN,NaN,NaN,0,0,0,0,962.544951,367.936799,1067.829372,389.588316,994.400757,362.356272,,-105.284421,-21.651517,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125,,,
16,959.532232,367.983867,959.516626,367.494678,959.150346,367.866563,992.782505,360.670585,1064.865862,388.53552,NaN,NaN,NaN,NaN,0,0,0,0,959.3997347,367.7817027,1064.865862,388.53552,992.782505,360.670585,,-105.4661273,-20.75381733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333,,,
17,956.469578,367.855786,956.458091,367.680617,955.884433,368.018936,989.546001,358.423002,1062.302826,387.651171,NaN,NaN,NaN,NaN,0,0,0,0,956.2707007,367.8517797,1062.302826,387.651171,989.546001,358.423002,,-106.0321253,-19.79939133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667,,,
18,953.336196,368.322578,953.368662,367.835566,952.79574,368.27289,986.931902,355.488658,1059.099031,386.935269,NaN,NaN,1052.348502,392.465901,0,0,0,0,953.166866,368.143678,1059.099031,386.935269,986.931902,355.488658,,-105.932165,-18.791591,-65.4166,-36.977243,#VALUE!,#VALUE!,19.41843513,#VALUE!,0.15,,,
19,949.613366,368.384817,949.32151,368.331403,949.074119,368.552239,984.566765,353.490806,1056.375805,386.514151,NaN,NaN,NaN,NaN,0,0,0,0,949.3363317,368.4228197,1056.375805,386.514151,984.566765,353.490806,,-107.0394733,-18.09133133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333,,,
20,946.821244,368.851609,946.386553,368.982188,945.884158,368.93317,982.948513,351.430522,1052.571298,386.387816,NaN,NaN,NaN,NaN,0,0,0,0,946.363985,368.9223223,1052.571298,386.387816,982.948513,351.430522,,-106.207313,-17.46549367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667,,,
21,942.912272,369.162804,942.648344,368.982188,942.162536,369.085543,980.023211,349.557536,1049.367503,386.387816,NaN,NaN,NaN,NaN,0,0,0,0,942.574384,369.076845,1049.367503,386.387816,980.023211,349.557536,,-106.793119,-17.310971,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175,,,
22,939.965032,370.00303,939.064606,370.097821,938.871306,369.339497,976.475505,348.870775,1046.215643,386.40638,NaN,NaN,NaN,NaN,0,0,0,0,939.3003147,369.8134493,1046.215643,386.40638,976.475505,348.870775,,-106.9153283,-16.59293067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333,,,
23,936.074354,370.50339,935.709196,370.344331,935.421166,370.277717,973.861406,349.245372,1043.118641,386.106918,NaN,NaN,NaN,NaN,0,0,0,0,935.7349053,370.375146,1043.118641,386.106918,973.861406,349.245372,,-107.3837357,-15.731772,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667,,,
24,933.419588,371.112382,931.974419,370.785075,932.225579,371.000075,969.259192,349.693698,1036.630188,387.532618,NaN,NaN,NaN,NaN,0,0,0,0,932.539862,370.965844,1036.630188,387.532618,969.259192,349.693698,,-104.090326,-16.566774,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2,,,
25,929.338263,371.518088,929.22826,371.363551,929.615099,371.948171,964.058656,349.693698,1033.874476,387.298928,NaN,NaN,NaN,NaN,0,0,0,0,929.393874,371.6099367,1033.874476,387.298928,964.058656,349.693698,,-104.480602,-15.68899133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333,,,
26,926.654149,372.513912,925.328714,371.804295,926.306991,372.286776,960.849815,349.971178,1031.563234,386.831546,NaN,NaN,NaN,NaN,0,0,0,0,926.096618,372.201661,1031.563234,386.831546,960.849815,349.971178,,-105.466616,-14.629885,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667,,,
27,921.837451,372.292618,921.154552,371.942027,921.356081,372.422218,956.202527,350.581632,1028.051923,386.317426,NaN,NaN,NaN,NaN,0,0,0,0,921.4493613,372.2189543,1028.051923,386.317426,956.202527,350.581632,,-106.6025617,-14.09847167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225,,,
28,919.521023,372.882735,917.392314,372.658236,918.159213,373.108414,953.602259,350.581632,1025.340658,385.850045,NaN,NaN,NaN,NaN,0,0,0,0,918.3575167,372.8831283,1025.340658,385.850045,953.602259,350.581632,,-106.9831413,-12.96691667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333,,,
29,915.035243,373.214676,913.932154,373.098979,914.378518,373.289003,948.954972,350.859112,1022.451605,385.055496,NaN,NaN,NaN,NaN,0,0,0,0,914.4486383,373.200886,1022.451605,385.055496,948.954972,350.859112,,-108.0029667,-11.85461,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667,,,
30,912.167285,373.841676,911.213456,373.374444,911.527994,373.439495,946.631328,351.747046,1018.806954,384.868543,NaN,NaN,NaN,NaN,0,0,0,0,911.636245,373.5518717,1018.806954,384.868543,946.631328,351.747046,,-107.170709,-11.31667133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25,,,
31,907.938886,374.062971,907.588526,373.374444,907.897327,374.071558,943.422487,352.302004,1015.562326,384.494638,NaN,NaN,NaN,NaN,0,0,0,0,907.8082463,373.8363243,1015.562326,384.494638,943.422487,352.302004,,-107.7540797,-10.65831367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333,,,
32,905.034159,374.2105,905.007137,373.95292,905.226836,374.22205,939.660397,352.080021,1012.148621,384.197848,NaN,NaN,NaN,NaN,0,0,0,0,905.0893773,374.12849,1012.148621,384.197848,939.660397,352.080021,,-107.0592437,-10.069358,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667,,,
33,901.541133,374.616206,901.409668,374.393664,901.266108,374.553131,936.451556,352.63498,1008.539705,384.073994,NaN,NaN,NaN,NaN,0,0,0,0,901.4056363,374.5210003,1008.539705,384.073994,936.451556,352.63498,,-107.1340687,-9.552993667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275,,,
34,897.680421,375.353853,897.661521,375.391278,897.365391,375.185194,932.966091,353.800393,1005.295076,383.840304,NaN,NaN,NaN,NaN,0,0,0,0,897.569111,375.3101083,1005.295076,383.840304,932.966091,353.800393,,-107.725965,-8.530195667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.283333333,,,
35,894.475852,375.343922,894.585823,375.268849,894.781605,375.137046,929.812574,354.965806,1001.472637,383.41966,NaN,NaN,NaN,NaN,0,0,0,0,894.6144267,375.249939,1001.472637,383.41966,929.812574,354.965806,,-106.8582103,-8.169721,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667,,,
36,891.338257,375.475059,891.388073,375.513707,891.260958,375.270816,925.99516,356.408699,998.183561,383.045755,NaN,NaN,NaN,NaN,0,0,0,0,891.329096,375.4198607,998.183561,383.045755,925.99516,356.408699,,-106.854465,-7.625894333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3,,,
37,887.448947,375.376706,888.312375,375.513707,888.06037,375.404586,922.509694,357.296633,995.205615,382.90554,NaN,NaN,NaN,NaN,0,0,0,0,887.940564,375.4316663,995.205615,382.90554,922.509694,357.296633,,-107.265051,-7.473873667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.308333333,,,
38,884.507452,375.343922,885.065805,374.999506,884.939796,375.270816,919.024229,359.017005,991.427622,382.765326,NaN,NaN,NaN,NaN,0,0,0,0,884.8376843,375.204748,991.427622,382.765326,919.024229,359.017005,,-106.5899377,-7.560578,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667,,,
39,881.435223,374.655451,880.745181,374.632219,881.899238,375.003276,915.538763,360.182419,987.96041,382.620256,NaN,NaN,NaN,NaN,0,0,0,0,881.3598807,374.7636487,987.96041,382.620256,915.538763,360.182419,,-106.6005293,-7.856607333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.325,,,
40,878.689828,374.327608,877.547431,374.485305,878.111875,374.575211,911.223425,361.347832,985.155313,382.537166,NaN,NaN,NaN,NaN,0,0,0,0,878.116378,374.462708,985.155313,382.537166,911.223425,361.347832,,-107.038935,-8.074458,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.333333333,,,
41,874.931251,373.999765,873.959117,373.971104,874.751257,374.280917,907.350685,363.068204,981.757589,382.454076,NaN,NaN,NaN,NaN,0,0,0,0,874.5472083,374.0839287,981.757589,382.454076,907.350685,363.068204,,-107.2103807,-8.370147333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.341666667,,,
42,871.630239,373.409647,871.512328,373.123295,871.363968,373.585313,903.367296,364.844072,978.636424,382.537166,NaN,NaN,NaN,NaN,0,0,0,0,871.5021783,373.3727517,978.636424,382.537166,903.367296,364.844072,,-107.1342457,-9.164414333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.35,,,
43,867.904345,372.098275,867.736868,372.20916,867.736635,372.488398,898.504209,365.827346,974.843616,382.537166,NaN,NaN,NaN,NaN,0,0,0,0,867.792616,372.2652777,974.843616,382.537166,898.504209,365.827346,,-107.051,-10.27188833,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.358333333,,,
44,864.472601,371.573725,864.677443,371.425615,864.695141,372.109796,895.160129,367.652544,971.485401,381.955536,NaN,NaN,NaN,NaN,0,0,0,0,864.6150617,371.7030453,971.485401,381.955536,895.160129,367.652544,,-106.8703393,-10.25249067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.366666667,,,
45,861.531106,371.213098,861.48783,370.51148,861.491918,371.221959,890.488253,368.935115,968.52227,381.456995,NaN,NaN,NaN,NaN,0,0,0,0,861.503618,370.982179,968.52227,381.456995,890.488253,368.935115,,-107.018652,-10.474816,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.375,,,
46,858.426194,369.868941,858.515198,369.466755,858.288696,369.784509,887.390061,369.971038,965.480122,380.41837,NaN,NaN,NaN,NaN,0,0,0,0,858.4100293,369.706735,965.480122,380.41837,887.390061,369.971038,,-107.0700927,-10.711635,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.383333333,,,
47,855.071068,368.562248,854.869926,368.552619,854.967274,368.654694,884.783646,372.338862,961.924364,379.795194,NaN,NaN,NaN,NaN,0,0,0,0,854.9694227,368.5898537,961.924364,379.795194,884.783646,372.338862,,-106.9549413,-11.20534033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.391666667,,,
48,851.87537,367.338301,851.862512,367.498125,852.119966,367.696394,879.423283,373.621433,958.921725,378.798113,950.455979,357.255128,NaN,NaN,0,0,0,0,851.952616,367.51094,958.921725,378.798113,879.423283,373.621433,,-106.969109,-11.287173,#VALUE!,#VALUE!,-71.032696,16.366305,#VALUE!,18.99826468,0.4,,,
49,848.795878,366.522335,848.737993,366.395359,848.860546,366.681723,876.030025,374.657356,955.56351,377.634852,NaN,NaN,NaN,NaN,0,0,0,0,848.798139,366.533139,955.56351,377.634852,876.030025,374.657356,,-106.765371,-11.101713,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.408333333,,,
50,845.658283,364.744697,845.594187,365.36998,845.732253,365.310038,872.39088,375.939928,951.731193,376.762407,NaN,NaN,NaN,NaN,0,0,0,0,845.6615743,365.1415717,951.731193,376.762407,872.39088,375.939928,,-106.0696187,-11.62083533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.416666667,,,
51,842.694999,363.957874,842.662539,364.267214,842.678889,364.220207,868.505846,377.469147,948.965604,375.889961,NaN,NaN,NaN,NaN,0,0,0,0,842.678809,364.1484317,948.965604,375.889961,868.505846,377.469147,,-106.286795,-11.74152933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.425,,,
52,839.818871,363.025342,839.615169,363.145101,839.732116,363.226987,865.210944,378.209092,945.765423,375.765326,NaN,NaN,NaN,NaN,0,0,0,0,839.722052,363.1324767,945.765423,375.765326,865.210944,378.209092,,-106.043371,-12.63284933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.433333333,,,
53,836.652224,361.509978,836.683522,361.519972,836.495669,362.078851,861.080022,377.469147,942.683766,375.183695,NaN,NaN,NaN,NaN,0,0,0,0,836.6104717,361.7029337,942.683766,375.183695,861.080022,377.469147,,-106.0732943,-13.48076133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.441666667,,,
54,833.601784,360.402597,833.546091,360.468688,833.515769,360.633784,856.853846,377.694167,939.720635,374.269705,NaN,NaN,NaN,NaN,0,0,0,0,833.554548,360.5016897,939.720635,374.269705,856.853846,377.694167,,-106.166087,-13.76801533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.45,,,
55,830.522293,359.382641,830.437288,359.505649,830.397728,359.485649,853.706477,376.37871,936.243895,373.106444,NaN,NaN,NaN,NaN,0,0,0,0,830.4524363,359.4579797,936.243895,373.106444,853.706477,376.37871,,-105.7914587,-13.64846433,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.458333333,,,
56,827.181336,358.158693,826.848449,358.06109,826.549514,358.238536,849.335131,375.194798,933.715356,371.403097,NaN,NaN,NaN,NaN,0,0,0,0,826.8597663,358.152773,933.715356,371.403097,849.335131,375.194798,,-106.8555897,-13.250324,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.466666667,,,
57,823.811326,357.226161,824.082528,357.235627,823.912264,357.225887,846.100335,372.695428,930.475666,370.364471,NaN,NaN,NaN,NaN,0,0,0,0,823.9353727,357.229225,930.475666,370.364471,846.100335,372.695428,,-106.5402933,-13.135246,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.475,,,
58,820.760887,356.614187,820.836572,356.364306,820.702129,356.328494,840.286444,368.792903,927.117451,369.201211,NaN,NaN,NaN,NaN,0,0,0,0,820.7665293,356.4356623,927.117451,369.201211,840.286444,368.792903,,-106.3509217,-12.76554867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.483333333,,,
59,818.204328,355.856505,818.09351,355.653491,818.123497,355.378313,837.182789,365.109621,924.075303,368.4534,NaN,NaN,NaN,NaN,0,0,0,0,818.140445,355.6294363,924.075303,368.4534,837.182789,365.109621,,-105.934858,-12.82396367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.491666667,,,
60,815.58402,355.349105,815.30473,355.057324,815.457155,355.219949,834.16656,360.987854,921.38873,367.456319,NaN,NaN,NaN,NaN,0,0,0,0,815.448635,355.2087927,921.38873,367.456319,834.16656,360.987854,,-105.940095,-12.24752633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.5,,,
61,812.356042,355.349105,812.195927,355.057324,812.510147,355.008798,831.194045,358.181544,918.544125,366.417693,NaN,NaN,NaN,NaN,0,0,0,0,812.3540387,355.138409,918.544125,366.417693,831.194045,358.181544,,-106.1900863,-11.279284,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.508333333,,,
62,809.205535,354.546091,808.972829,354.438227,808.633427,354.762455,830.494629,355.901417,915.620502,365.628338,NaN,NaN,NaN,NaN,0,0,0,0,808.9372637,354.5822577,915.620502,365.628338,830.494629,355.901417,,-106.6832383,-11.04608033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.516666667,,,
63,806.106676,354.416573,805.726873,354.094284,805.760937,354.399566,828.533674,353.437225,912.499337,365.046707,NaN,NaN,NaN,NaN,0,0,0,0,805.8648287,354.3034743,912.499337,365.046707,828.533674,353.437225,,-106.6345083,-10.74323267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.525,,,
64,802.723755,354.546091,802.659438,354.577004,802.933471,354.306879,824.986733,349.148734,909.457189,364.838982,NaN,NaN,NaN,NaN,0,0,0,0,802.7722213,354.476658,909.457189,364.838982,824.986733,349.148734,,-106.6849677,-10.362324,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.533333333,,,
65,799.469953,354.546091,799.570954,354.475095,800.032085,354.399566,824.259469,345.252155,906.375533,364.381987,NaN,NaN,NaN,NaN,0,0,0,0,799.6909973,354.473584,906.375533,364.381987,824.259469,345.252155,,-106.6845357,-9.908403,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.541666667,,,
66,796.34527,354.67561,796.380874,354.352804,796.151251,354.399566,823.05492,342.757657,903.214859,364.381987,NaN,NaN,NaN,NaN,0,0,0,0,796.292465,354.4759933,903.214859,364.381987,823.05492,342.757657,,-106.922394,-9.905993667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,,,
67,792.833229,354.96055,792.540588,354.699294,792.935702,354.566401,820.373828,339.327723,899.422052,364.465077,NaN,NaN,876.03787,376.011708,0,0,0,0,792.7698397,354.7420817,899.422052,364.465077,820.373828,339.327723,,-106.6522123,-9.722995333,-55.664042,-36.683985,#VALUE!,#VALUE!,28.17687783,#VALUE!,0.558333333,,,
68,789.966784,354.96055,789.709811,354.98027,789.738633,354.955684,818.547576,338.275357,896.483042,364.36637,NaN,NaN,NaN,NaN,0,0,0,0,789.805076,354.9655013,896.483042,364.36637,818.547576,338.275357,,-106.677966,-9.400868667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.566666667,,,
69,786.42892,355.349105,786.386529,355.179559,786.196291,355.298624,816.527043,335.196211,893.252132,364.181725,NaN,NaN,NaN,NaN,0,0,0,0,786.3372467,355.2757627,893.252132,364.181725,816.527043,335.196211,,-106.9148853,-8.905962333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.575,,,
70,782.616133,355.557435,782.413041,355.433199,782.648099,355.545788,814.304325,334.378063,889.494443,364.551015,NaN,NaN,NaN,NaN,0,0,0,0,782.559091,355.5121407,889.494443,364.551015,814.304325,334.378063,,-106.935352,-9.038874333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.583333333,,,
71,779.632047,356.156098,778.999453,355.74119,779.461297,355.710564,810.620161,334.131693,886.649837,364.809517,NaN,NaN,NaN,NaN,0,0,0,0,779.3642657,355.869284,886.649837,364.809517,810.620161,334.131693,,-107.2855713,-8.940233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.591666667,,,
72,775.913416,356.892913,776.102111,356.582231,776.192361,356.666265,808.286858,333.515768,883.102859,364.957233,NaN,NaN,NaN,NaN,0,0,0,0,776.069296,356.713803,883.102859,364.957233,808.286858,333.515768,,-107.033563,-8.24343,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.6,,,
73,772.516148,357.215269,772.441685,357.355229,772.726304,357.012294,804.193343,332.899842,879.766593,365.326522,NaN,NaN,NaN,NaN,0,0,0,0,772.561379,357.194264,879.766593,365.326522,804.193343,332.899842,,-107.205214,-8.132258,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.608333333,,,
74,769.623879,357.97511,769.286976,357.862509,769.539502,357.506622,797.357173,333.926385,876.289852,365.806598,NaN,NaN,NaN,NaN,0,0,0,0,769.4834523,357.7814137,876.289852,365.806598,797.357173,333.926385,,-106.8063997,-8.025184333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.616666667,,,
75,765.848705,358.415445,765.891449,358.345633,765.507384,358.69134,794.287037,336.102654,872.637519,366.323603,NaN,NaN,NaN,NaN,0,0,0,0,765.7491793,358.4841393,872.637519,366.323603,794.287037,336.102654,,-106.8883397,-7.839463667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.625,,,
76,762.558559,358.737802,762.447759,358.852913,762.090607,358.933012,791.953734,336.513271,869.12566,366.840608,NaN,NaN,NaN,NaN,0,0,0,0,762.3656417,358.8412423,869.12566,366.840608,791.953734,336.513271,,-106.7600183,-7.999365667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.633333333,,,
77,759.167819,359.457098,759.052232,359.239412,759.068073,359.042862,788.228635,335.650976,865.262615,367.468399,NaN,NaN,NaN,NaN,0,0,0,0,759.0960413,359.2464573,865.262615,367.468399,788.228635,335.650976,,-106.1665737,-8.221941667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.641666667,,,
