frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time,,,
0,1008.718816,381.638575,1007.721702,381.20977,1008.132414,381.832823,1039.751082,392.097441,1111.50604,410.297283,NaN,NaN,NaN,NaN,62.068432,614.423183,1722.426901,600.556115,1008.190977,381.5603893,1111.50604,410.297283,1039.751082,392.097441,,-103.3150627,-28.73689367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
1,1006.258258,380.168179,1005.79274,380.425341,1004.318921,379.830478,1038.257311,393.50218,1109.223336,409.097096,NaN,NaN,NaN,NaN,0,0,0,0,1005.45664,380.1413327,1109.223336,409.097096,1038.257311,393.50218,,-103.7666963,-28.95576333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333,,,
2,1004.530632,379.432981,1002.768961,378.751892,1001.306971,378.287706,1033.309195,394.438673,1106.700348,407.328398,NaN,NaN,NaN,NaN,0,0,0,0,1002.868855,378.824193,1106.700348,407.328398,1033.309195,394.438673,,-103.8314933,-28.504205,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667,,,24.09289965
3,1000.499505,376.964817,999.491336,377.199316,998.977854,377.049775,1027.987636,394.438673,1103.872068,405.717152,NaN,NaN,NaN,NaN,0,0,0,0,999.6562317,377.0713027,1103.872068,405.717152,1027.987636,394.438673,,-104.2158363,-28.64584933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025,,,
4,996.101912,375.021794,995.980973,375.595594,994.930208,375.499917,1023.506323,392.472038,1099.867324,404.622244,NaN,NaN,NaN,NaN,0,0,0,0,995.671031,375.372435,1099.867324,404.622244,1023.506323,392.472038,,-104.196293,-29.249809,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333,,,
5,993.065479,374.129054,993.061462,373.922146,992.366847,374.185704,1019.211731,390.505403,1096.703576,402.853546,NaN,NaN,NaN,NaN,0,0,0,0,992.8312627,374.078968,1096.703576,402.853546,1019.211731,390.505403,,-103.8723133,-28.774578,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667,,,
6,990.081398,373.026257,989.759635,372.806513,989.376258,373.10005,1016.22419,388.070521,1093.740066,401.295408,NaN,NaN,NaN,NaN,0,0,0,0,989.739097,372.9776067,1093.740066,401.295408,1016.22419,388.070521,,-104.000969,-28.31780133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05,,,
7,986.940261,371.92346,987.048661,371.551427,985.787552,371.30015,1012.077046,385.269131,1091.297172,400.032053,NaN,NaN,NaN,NaN,0,0,0,0,986.592158,371.591679,1091.297172,400.032053,1012.077046,385.269131,,-104.705014,-28.440374,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333,,,
8,984.057623,370.897203,984.337687,370.819293,983.081781,371.157301,1008.4671,382.646951,1088.413756,398.558138,NaN,NaN,NaN,NaN,0,0,0,0,983.825697,370.9579323,1088.413756,398.558138,1008.4671,382.646951,,-104.588059,-27.60020567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667,,,
9,980.951387,370.407071,981.20964,369.70366,980.575383,370.100217,1005.541798,380.336935,1085.410198,397.589566,NaN,NaN,NaN,NaN,0,0,0,0,980.9121367,370.070316,1085.410198,397.589566,1005.541798,380.336935,,-104.4980613,-27.51925,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075,,,
10,978.403575,369.846921,978.116349,369.355025,976.986676,369.243121,1002.616497,377.402591,1082.807115,395.778757,NaN,NaN,NaN,NaN,0,0,0,0,977.8355333,369.481689,1082.807115,395.778757,1002.616497,377.402591,,-104.9715817,-26.297068,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333,,,
