frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
49,1192.414144,497.335498,1192.834226,497.468694,1192.396829,497.147112,1267.348962,506.207458,1331.567806,513.348546,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1192.5484,497.3171013,1331.567806,513.348546,1267.348962,506.207458,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.408333333
50,1188.48399,496.05862,1188.82248,496.847258,1188.842284,496.637285,1262.989252,506.421851,1327.59488,513.01776,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1188.716251,496.5143877,1327.59488,513.01776,1262.989252,506.421851,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.416666667
51,1182.610839,495.009756,1184.409559,495.759744,1184.15226,495.82156,1258.16243,508.565779,1323.621953,512.356188,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1183.724219,495.5303533,1323.621953,512.356188,1258.16243,508.565779,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.425
52,1179.82882,495.420181,1180.197225,495.190094,1180.548347,494.750922,1254.062227,509.530547,1318.684173,511.694616,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1180.191464,495.120399,1318.684173,511.694616,1254.062227,509.530547,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.433333333
53,1175.72203,494.91855,1178.291646,495.190094,1177.635595,494.241095,1248.820195,510.9241,1313.859905,510.844023,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1177.216424,494.7832463,1313.859905,510.844023,1248.820195,510.9241,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.441666667
54,1169.451448,493.504864,1171.131151,494.08371,1170.674612,493.935198,1240.723591,511.031296,1307.389138,509.474505,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1170.41907,493.8412573,1307.389138,509.474505,1240.723591,511.031296,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.45
55,1167.06686,494.052097,1167.48591,494.465608,1167.268173,493.884215,1236.72719,512.156858,1301.562179,508.466395,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1167.273648,494.1339733,1301.562179,508.466395,1236.72719,512.156858,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.458333333
56,1160.045574,492.775219,1161.14636,493.319915,1161.04772,493.068491,1233.094099,512.049662,1299.821659,507.899333,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1160.746551,493.0545417,1299.821659,507.899333,1233.094099,512.049662,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.466666667
57,1158.190894,492.866425,1159.191666,492.938017,1158.529918,492.711612,1228.993895,512.69284,1296.416293,506.702202,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1158.637493,492.8386847,1296.416293,506.702202,1228.993895,512.69284,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.475
58,1154.790649,492.227986,1155.599254,492.447006,1155.123479,491.997853,1224.01137,512.800037,1291.725029,505.882231,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1155.171127,492.2242817,1291.725029,505.882231,1224.01137,512.800037,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.483333333
59,1150.541663,492.187599,1150.844592,492.556119,1150.23598,491.284095,1218.613634,512.800037,1288.697464,505.253043,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1150.540745,492.009271,1288.697464,505.253043,1218.613634,512.800037,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.491666667
60,1146.514351,491.067873,1145.297486,491.028529,1145.299113,490.46837,1214.565332,512.049662,1283.551579,503.929899,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1145.70365,490.854924,1283.551579,503.929899,1214.565332,512.049662,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.5
61,1143.261523,491.334475,1142.761666,490.646631,1142.188886,490.927215,1208.752385,510.656109,1280.827286,502.732768,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1142.737358,490.9694403,1280.827286,502.732768,1208.752385,510.656109,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.508333333
62,1138.924418,490.694631,1138.323981,490.646631,1138.288761,490.366405,1204.631096,508.027819,1277.648945,501.850672,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1138.512387,490.5692223,1277.648945,501.850672,1204.631096,508.027819,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.516666667
63,1136.704234,491.334475,1134.520252,491.51954,1136.508519,490.787058,1201.955295,504.264034,1274.243579,500.968575,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1135.911002,491.213691,1274.243579,500.968575,1201.955295,504.264034,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.525
64,1129.475726,491.334475,1128.973146,490.646631,1131.198644,490.605786,1200.478991,501.738964,1270.989563,500.653541,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1129.882505,490.8622973,1270.989563,500.653541,1200.478991,501.738964,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.533333333
65,1126.945748,491.601076,1125.275075,491.028529,1128.214581,490.923012,1195.588735,495.259537,1267.811222,499.960465,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1126.811801,491.1842057,1267.811222,499.960465,1195.588735,495.259537,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.541666667
66,1119.149286,492.454201,1121.735493,491.028529,1122.68529,491.104284,1192.036379,489.732968,1263.876133,499.204383,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1121.190023,491.5290047,1263.876133,499.204383,1192.036379,489.732968,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55
67,1116.825837,492.934083,1116.188387,492.174222,1117.155998,491.6481,1187.884274,484.015827,1259.310191,498.580752,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1116.723407,492.252135,1259.310191,498.580752,1187.884274,484.015827,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.558333333
