frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1097.359357,423.51942,1097.242327,423.039114,1096.74843,422.908699,1121.511556,417.088014,1122.577473,431.108994,NaN,NaN,NaN,NaN,180.929956,752.868686,1795.635692,721.019301,1097.116705,423.1557443,1122.577473,431.108994,1121.511556,417.088014,,-25.46076833,-7.953249667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1095.955,423.439369,1095.63902,423.153473,1095.880065,423.130937,1121.013348,417.043073,1120.846609,430.80787,NaN,NaN,NaN,NaN,0,0,0,0,1095.824695,423.2412597,1120.846609,430.80787,1121.013348,417.043073,,-25.021914,-7.566610333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1094.796406,423.462241,1094.971951,423.199216,1094.70157,423.231954,1119.762125,417.271175,1119.536766,431.108994,NaN,NaN,NaN,NaN,0,0,0,0,1094.823309,423.2978037,1119.536766,431.108994,1119.762125,417.271175,,-24.713457,-7.811190333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1093.743139,423.336446,1093.743139,423.336446,1093.833205,423.009716,1118.106413,418.248033,1118.086583,430.80787,NaN,NaN,NaN,NaN,0,0,0,0,1093.773161,423.227536,1118.086583,430.80787,1118.106413,418.248033,,-24.313422,-7.580334,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1092.256861,422.741782,1091.847257,422.981935,1091.662293,422.585444,1116.233652,419.44706,1116.96386,430.635799,NaN,NaN,NaN,NaN,0,0,0,0,1091.922137,422.7697203,1116.96386,430.635799,1116.233652,419.44706,,-25.041723,-7.866078667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1091.10997,422.501629,1091.118376,422.367769,1090.60785,422.161171,1114.75757,419.44706,1115.420117,430.291657,NaN,NaN,NaN,NaN,0,0,0,0,1090.945399,422.343523,1115.420117,430.291657,1114.75757,419.44706,,-24.47471833,-7.948134,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1089.885744,422.176521,1089.870059,422.123804,1088.974497,421.635881,1114.690968,420.48676,1114.016714,430.033551,NaN,NaN,NaN,NaN,0,0,0,0,1089.576767,421.9787353,1114.016714,430.033551,1114.690968,420.48676,,-24.43994733,-8.054815667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1088.728884,421.584202,1088.65295,421.8036,1088.436937,421.312626,1113.802368,422.060587,1113.081112,430.033551,NaN,NaN,NaN,NaN,0,0,0,0,1088.606257,421.5668093,1113.081112,430.033551,1113.802368,422.060587,,-24.474855,-8.466741667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1087.505714,421.357516,1087.170574,421.559635,1086.803584,421.211609,1110.329322,423.499494,1112.05195,429.818462,NaN,NaN,NaN,NaN,0,0,0,0,1087.159957,421.3762533,1112.05195,429.818462,1110.329322,423.499494,,-24.89199267,-8.442208667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1086.366901,420.842321,1086.177635,420.825195,1085.480361,420.464081,1109.977874,423.087382,1110.274306,429.431302,NaN,NaN,NaN,NaN,0,0,0,0,1086.008299,420.7105323,1110.274306,429.431302,1109.977874,423.087382,,-24.266007,-8.720769667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
