0,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
31,1036.627297,406.161085,1036.597241,406.242011,1035.907466,405.646843,1069.210852,395.70662,1101.452798,413.334377,NaN,NaN,NaN,NaN,0,0,0,0,1036.377335,406.0166463,1101.452798,413.334377,1069.210852,395.70662,,-65.07546333,-7.317730667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333
32,1033.627035,405.540331,1032.989053,404.982858,1032.961969,404.836238,1066.731609,396.532477,1099.404415,413.500821,NaN,NaN,NaN,NaN,0,0,0,0,1033.192686,405.119809,1099.404415,413.500821,1066.731609,396.532477,,-66.21172933,-8.381012,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667
33,1030.589502,404.476183,1030.182684,404.18158,1030.087448,404.177621,1063.26067,398.007221,1096.897732,413.148287,NaN,NaN,NaN,NaN,0,0,0,0,1030.286545,404.2784613,1096.897732,413.148287,1063.26067,398.007221,,-66.61118733,-8.869825667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275
34,1027.683464,403.769178,1027.015496,403.723706,1027.212927,403.282578,1060.223598,398.833078,1094.457014,412.401744,1084.873054,391.37833,NaN,NaN,0,0,0,0,1027.303962,403.5918207,1094.457014,412.401744,1060.223598,398.833078,,-67.15305167,-8.809923333,#VALUE!,#VALUE!,-24.649456,7.454748,#VALUE!,24.30096595,0.283333333
35,1025.016565,402.917859,1024.670174,402.846115,1024.001272,402.049783,1057.185613,399.833341,1092.236181,412.111422,NaN,NaN,NaN,NaN,0,0,0,0,1024.56267,402.6045857,1092.236181,412.111422,1057.185613,399.833341,,-67.67351067,-9.506836333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667
36,1021.922794,401.859649,1021.913845,402.191169,1021.268702,401.509379,1053.879956,400.672307,1089.245753,411.012346,NaN,NaN,NaN,NaN,0,0,0,0,1021.70178,401.853399,1089.245753,411.012346,1053.879956,400.672307,,-67.54397267,-9.158947,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3
37,1019.198839,400.948773,1019.597477,401.241506,1018.287718,400.563674,1049.086753,401.668578,1087.134862,409.975481,NaN,NaN,NaN,NaN,0,0,0,0,1019.028011,400.9179843,1087.134862,409.975481,1049.086753,401.668578,,-68.10685067,-9.057496667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.308333333
38,1015.856472,400.33218,1015.855652,400.037468,1015.08181,399.720601,1045.836191,402.350238,1084.309937,408.998507,NaN,NaN,NaN,NaN,0,0,0,0,1015.597978,400.030083,1084.309937,408.998507,1045.836191,402.350238,,-68.711959,-8.968424,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667
39,1012.838035,399.113007,1012.737465,399.172595,1012.100825,398.849951,1042.310157,402.769721,1082.38665,408.641411,NaN,NaN,NaN,NaN,0,0,0,0,1012.558775,399.0451843,1082.38665,408.641411,1042.310157,402.769721,,-69.827875,-9.596226667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.325
40,1009.937391,398.244172,1009.761823,398.34164,1008.78862,397.799167,1038.453557,402.979462,1080.336709,407.966292,NaN,NaN,NaN,NaN,0,0,0,0,1009.495945,398.1283263,1080.336709,407.966292,1038.453557,402.979462,,-70.84076433,-9.837965667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.333333333
41,1006.676295,397.041708,1006.233817,397.018894,1005.634139,396.868472,1034.266392,403.189203,1077.879538,405.238145,NaN,NaN,NaN,NaN,0,0,0,0,1006.181417,396.976358,1077.879538,405.238145,1034.266392,403.189203,,-71.698121,-8.261787,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.341666667
42,1003.744566,396.809188,1003.365084,396.56102,1002.29039,396.373103,1030.024133,402.769721,1069.533849,404.007635,NaN,NaN,NaN,NaN,0,0,0,0,1003.133347,396.5811037,1069.533849,404.007635,1030.024133,402.769721,,-66.40050233,-7.426531333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.35
43,1000.987345,396.067338,1001.048717,395.899648,1000.131551,396.033943,1026.443004,401.773449,1067.548986,403.455264,NaN,NaN,NaN,NaN,0,0,0,0,1000.722538,396.0003097,1067.548986,403.455264,1026.443004,401.773449,,-66.82644833,-7.454954333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.358333333
44,999.272988,396.250464,999.01744,395.747023,997.201389,395.460181,1022.090556,399.780906,1066.019666,403.578013,NaN,NaN,NaN,NaN,0,0,0,0,998.4972723,395.8192227,1066.019666,403.578013,1022.090556,399.780906,,-67.52239367,-7.758790333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.366666667
45,996.651495,395.881385,996.523246,395.771978,994.173087,394.979823,1018.729805,397.788363,1063.481645,403.240453,NaN,NaN,NaN,NaN,0,0,0,0,995.7826093,395.5443953,1063.481645,403.240453,1018.729805,397.788363,,-67.69903567,-7.696057667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.375
46,993.595672,395.615647,993.339725,395.560942,991.495283,394.752987,1016.305657,395.586078,1060.455542,402.411897,NaN,NaN,NaN,NaN,0,0,0,0,992.8102267,395.3098587,1060.455542,402.411897,1016.305657,395.586078,,-67.64531533,-7.102038333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.383333333
47,990.710479,395.822332,989.522668,395.169017,988.971698,394.979823,1013.330566,393.383794,1058.202409,401.661478,NaN,NaN,NaN,NaN,0,0,0,0,989.7349483,395.323724,1058.202409,401.661478,1013.330566,393.383794,,-68.46746067,-6.337754,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.391666667
48,986.785996,394.78891,986.750945,394.912758,985.592899,394.699613,1009.969815,391.024203,1056.077081,401.079556,NaN,NaN,NaN,NaN,0,0,0,0,986.3766133,394.800427,1056.077081,401.079556,1009.969815,391.024203,,-69.70046767,-6.279129,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.4
49,983.710286,394.865354,983.155626,394.822314,982.718816,394.632897,1008.592458,389.451143,1054.020311,400.626951,NaN,NaN,NaN,NaN,0,0,0,0,983.1949093,394.7735217,1054.020311,400.626951,1008.592458,389.451143,,-70.82540167,-5.853429333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.408333333
50,980.805559,395.37277,979.754361,395.074915,979.495108,395.196162,1006.829441,386.042845,1052.10066,399.495437,NaN,NaN,NaN,NaN,0,0,0,0,980.0183427,395.2146157,1052.10066,399.495437,1006.829441,386.042845,,-72.08231733,-4.280821333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.416666667
51,977.533146,395.320278,976.844786,395.110646,976.654437,394.994485,1003.027935,381.900453,1050.11245,397.911318,NaN,NaN,1035.992127,396.398021,0,0,0,0,977.0107897,395.141803,1050.11245,397.911318,1003.027935,381.900453,,-73.10166033,-2.769515,-32.964192,-14.497568,#VALUE!,#VALUE!,21.5701126,#VALUE!,0.425
52,973.745971,396.055156,973.503467,395.807401,973.551363,395.611242,1001.099636,379.068944,1048.044254,396.378166,NaN,NaN,NaN,NaN,0,0,0,0,973.600267,395.8245997,1048.044254,396.378166,1001.099636,379.068944,,-74.443987,-0.553566333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.433333333
53,970.767707,396.527578,970.387407,396.504156,970.385977,396.643123,997.904167,377.233707,1046.170308,395.904008,NaN,NaN,NaN,NaN,0,0,0,0,970.513697,396.5582857,1046.170308,395.904008,997.904167,377.233707,,-75.656611,0.654277667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.441666667
54,967.476909,397.279952,967.421517,396.825735,967.482297,397.473373,995.204548,376.394741,1043.336537,395.386745,NaN,NaN,NaN,NaN,0,0,0,0,967.460241,397.19302,1043.336537,395.386745,995.204548,376.394741,,-75.876296,1.806275,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.45
55,964.108072,397.838679,964.061427,397.68328,963.516323,398.19651,991.898891,375.241164,1041.279768,395.171218,NaN,NaN,NaN,NaN,0,0,0,0,963.895274,397.9061563,1041.279768,395.171218,991.898891,375.241164,,-77.384494,2.734938333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.458333333
56,960.463886,398.569669,960.119423,398.380035,960.380541,398.610441,985.948709,372.671832,1037.531877,395.904008,NaN,NaN,NaN,NaN,0,0,0,0,960.3212833,398.5200483,1037.531877,395.904008,985.948709,372.671832,,-77.21059367,2.616040333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.466666667
57,956.793548,399.589321,956.063786,399.403575,956.216685,399.583481,981.210525,372.228556,1033.555456,396.679903,NaN,NaN,NaN,NaN,0,0,0,0,956.3580063,399.525459,1033.555456,396.679903,981.210525,372.228556,,-77.19744967,2.845556,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.475
58,952.610088,400.432638,951.39178,400.245239,951.621588,400.570604,977.684491,371.979974,1029.624741,397.585114,NaN,NaN,NaN,NaN,0,0,0,0,951.8744853,400.4161603,1029.624741,397.585114,977.684491,371.979974,,-77.75025567,2.831046333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.483333333
59,948.659042,401.414203,947.837719,401.055142,947.584292,401.242769,973.636082,372.663575,1026.288204,398.576536,NaN,NaN,NaN,NaN,0,0,0,0,948.0270177,401.2373713,1026.288204,398.576536,973.636082,372.663575,,-78.26118633,2.660835333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.491666667
60,945.347137,402.534017,944.333715,402.119133,943.383062,401.992483,969.391782,373.782196,1022.220371,399.783484,NaN,NaN,NaN,NaN,0,0,0,0,944.354638,402.215211,1022.220371,399.783484,969.391782,373.782196,,-77.865733,2.431727,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.5
61,940.420046,403.234868,940.395881,403.087841,939.479418,402.692216,965.147481,374.652235,1018.746716,400.818011,NaN,NaN,NaN,NaN,0,0,0,0,940.0984483,403.004975,1018.746716,400.818011,965.147481,374.652235,,-78.64826767,2.186964,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.508333333
62,936.357097,404.103274,935.676214,403.828571,935.081635,403.557504,961.490854,375.211545,1015.364473,400.947327,NaN,NaN,NaN,NaN,0,0,0,0,935.704982,403.829783,1015.364473,400.947327,961.490854,375.211545,,-79.659491,2.882456,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.516666667
63,932.500739,405.03722,931.760629,404.750814,930.967106,404.49359,957.703632,376.26802,1010.055376,401.52233,NaN,NaN,NaN,NaN,0,0,0,0,931.7428247,404.7605413,1010.055376,401.52233,957.703632,376.26802,,-78.31255133,3.238211333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.525
64,928.076257,405.971166,927.805492,405.541307,926.967324,405.117646,954.308192,377.013767,1005.759972,402.241441,NaN,NaN,NaN,NaN,0,0,0,0,927.6163577,405.543373,1005.759972,402.241441,954.308192,377.013767,,-78.14361433,3.301932,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.533333333
65,923.979393,406.706057,923.988784,406.520014,922.88558,406.006927,950.847455,377.883805,1002.887897,402.553056,NaN,NaN,NaN,NaN,0,0,0,0,923.617919,406.4109993,1002.887897,402.553056,950.847455,377.883805,,-79.269978,3.857943333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.541666667
66,920.092428,407.463409,919.855666,407.366972,918.574339,406.755795,946.27667,379.002426,999.609156,402.624967,NaN,NaN,NaN,NaN,0,0,0,0,919.5074777,407.195392,999.609156,402.624967,946.27667,379.002426,,-80.10167833,4.570425,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55
67,916.327888,408.104245,916.197164,408.025716,915.36009,407.562714,942.946527,379.810319,995.949167,403.46393,NaN,NaN,NaN,NaN,0,0,0,0,915.961714,407.8975583,995.949167,403.46393,942.946527,379.810319,,-79.987453,4.433628333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.558333333
68,911.660471,408.555744,911.945392,408.835031,910.828461,407.937148,938.63693,380.058901,991.272514,403.847456,NaN,NaN,NaN,NaN,0,0,0,0,911.478108,408.442641,991.272514,403.847456,938.63693,380.058901,,-79.794406,4.595185,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.566666667
69,908.237466,408.838754,907.568547,408.854935,906.38426,408.186771,934.849709,380.92894,987.078776,404.566567,NaN,NaN,NaN,NaN,0,0,0,0,907.3967577,408.62682,987.078776,404.566567,934.849709,380.92894,,-79.68201833,4.060253,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.575
70,903.721378,409.44291,903.578253,409.407026,902.537475,408.907903,930.931893,382.48258,983.16462,404.854212,NaN,NaN,NaN,NaN,0,0,0,0,903.2790353,409.252613,983.16462,404.854212,930.931893,382.48258,,-79.88558467,4.398401,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.583333333
71,899.985177,410.047065,900.044997,409.992577,898.860893,409.290619,928.058828,382.793308,979.140677,405.773929,NaN,NaN,NaN,NaN,0,0,0,0,899.6303557,409.7767537,979.140677,405.773929,928.058828,382.793308,,-79.51032133,4.002824667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.591666667
72,895.541636,410.219681,895.966811,410.578128,894.422628,409.635776,924.598091,383.849783,975.224639,406.17166,NaN,NaN,NaN,NaN,0,0,0,0,895.3103583,410.1445283,975.224639,406.17166,924.598091,383.849783,,-79.91428067,3.972868333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.6
73,891.877983,410.737529,892.328085,410.895998,890.036171,409.783701,920.941464,384.657675,971.007367,406.683028,NaN,NaN,NaN,NaN,0,0,0,0,891.4140797,410.4724093,971.007367,406.683028,920.941464,384.657675,,-79.59328733,3.789381333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.608333333
74,887.289347,410.75479,887.781277,410.643167,886.409573,409.931626,916.576034,386.03926,967.121452,407.251214,NaN,NaN,NaN,NaN,0,0,0,0,887.1600657,410.4431943,967.121452,407.251214,916.576034,386.03926,,-79.96138633,3.191980333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.616666667
75,883.047454,410.843739,884.007783,411.111608,882.385776,409.980934,913.035489,386.03926,963.597018,407.961448,NaN,NaN,NaN,NaN,0,0,0,0,883.1470043,410.645427,963.597018,407.961448,913.035489,386.03926,,-80.45001367,2.683979,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.625
76,878.920302,410.797708,880.1171,411.713889,878.621021,410.358963,908.508236,386.03926,960.313571,408.075085,NaN,NaN,NaN,NaN,0,0,0,0,879.2194743,410.9568533,960.313571,408.075085,908.508236,386.03926,,-81.09409667,2.881768333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.633333333
77,874.970489,410.997175,875.804536,411.312368,874.629288,410.484898,904.619441,386.702146,956.81926,408.558044,NaN,NaN,NaN,NaN,0,0,0,0,875.134771,410.9314803,956.81926,408.558044,904.619441,386.702146,,-81.684489,2.373436333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.641666667
