0,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
1,1116.604298,406.040243,1116.887908,406.251881,1116.888113,406.039385,1142.920831,384.878875,1168.045443,409.467532,NaN,NaN,NaN,NaN,175.557754,623.481914,1909.386447,608.69804,1116.79344,406.110503,1168.045443,409.467532,1142.920831,384.878875,,-51.25200333,-3.357029,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1113.940191,406.232006,1114.178711,406.561295,1113.903763,406.309892,1140.875456,384.170998,1165.85292,409.417706,NaN,NaN,NaN,NaN,0,0,0,0,1114.007555,406.367731,1165.85292,409.417706,1140.875456,384.170998,,-51.845365,-3.049975,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1111.029823,406.785988,1111.469514,406.922278,1111.260481,406.905007,1138.83008,384.259482,1164.109469,409.666835,NaN,NaN,NaN,NaN,0,0,0,0,1111.253273,406.871091,1164.109469,409.666835,1138.83008,384.259482,,-52.85619633,-2.795744,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1108.388103,407.425198,1108.922869,407.463751,1108.555675,407.462628,1137.156592,384.170998,1162.207522,409.492445,NaN,NaN,NaN,NaN,0,0,0,0,1108.622216,407.4505257,1162.207522,409.492445,1137.156592,384.170998,,-53.58530633,-2.041919333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1106.283683,408.021794,1106.267856,407.824734,1106.243988,407.985608,1134.367444,384.259482,1160.199911,409.54227,NaN,NaN,NaN,NaN,0,0,0,0,1106.265176,407.9440453,1160.199911,409.54227,1134.367444,384.259482,,-53.93473533,-1.598224667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1103.462864,408.362706,1103.612843,408.417777,1103.325956,408.47252,1130.64858,384.524936,1158.218717,409.741573,NaN,NaN,NaN,NaN,0,0,0,0,1103.467221,408.4176677,1158.218717,409.741573,1130.64858,384.524936,,-54.751496,-1.323905333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1101.045019,409.023223,1101.147474,408.959251,1100.938476,409.031567,1128.696176,384.524936,1155.497876,409.392793,NaN,NaN,NaN,NaN,0,0,0,0,1101.043656,409.0046803,1155.497876,409.392793,1128.696176,384.524936,,-54.45421967,-0.388112667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1098.268975,409.300214,1098.302817,409.629647,1098.428092,409.156046,1126.278915,385.321298,1153.393268,409.666296,NaN,NaN,NaN,NaN,0,0,0,0,1098.333295,409.361969,1153.393268,409.666296,1126.278915,385.321298,,-55.05997333,-0.304327,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1095.761581,409.960731,1095.918724,410.093767,1095.8006,409.781218,1123.861653,386.11766,1151.052982,409.792417,NaN,NaN,NaN,NaN,0,0,0,0,1095.826968,409.9452387,1151.052982,409.792417,1123.861653,386.11766,,-55.22601367,0.152821667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,1093.253263,410.274223,1093.317895,410.171121,1093.139423,409.989608,1122.002221,386.11766,1148.779561,409.729357,NaN,NaN,NaN,NaN,0,0,0,0,1093.23686,410.144984,1148.779561,409.729357,1122.002221,386.11766,,-55.54270067,0.415627,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,1090.646368,410.274223,1090.554514,410.22269,1090.545617,410.117848,1119.770903,386.11766,1147.341957,409.634766,NaN,NaN,NaN,NaN,0,0,0,0,1090.582166,410.2049203,1147.341957,409.634766,1119.770903,386.11766,,-56.75979067,0.570154333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,1088.417573,410.520438,1088.089145,410.428965,1087.699168,410.406389,1116.795812,385.763721,1144.901373,409.792417,NaN,NaN,NaN,NaN,0,0,0,0,1088.068629,410.4519307,1144.901373,409.792417,1116.795812,385.763721,,-56.83274433,0.659513667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,1085.691279,410.84241,1085.379948,410.893086,1085.341162,410.90332,1114.843408,385.763721,1142.260192,410.233842,NaN,NaN,NaN,NaN,0,0,0,0,1085.470796,410.8796053,1142.260192,410.233842,1114.843408,385.763721,,-56.78939567,0.645763333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,1082.825685,411.069685,1082.37274,411.073577,1082.24207,410.90332,1112.05426,386.383114,1140.020204,410.454554,NaN,NaN,NaN,NaN,0,0,0,0,1082.480165,411.0155273,1140.020204,410.454554,1112.05426,386.383114,,-57.540039,0.560973333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,1080.541395,411.272304,1080.109714,411.031182,1079.884064,411.11171,1108.800254,387.26796,1137.546187,410.895979,NaN,NaN,NaN,NaN,0,0,0,0,1080.178391,411.1383987,1137.546187,410.895979,1108.800254,387.26796,,-57.367796,0.242419667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,1077.551979,411.120788,1077.5624,411.153419,1077.138673,411.19186,1106.661908,387.975837,1135.239334,411.116691,NaN,NaN,NaN,NaN,0,0,0,0,1077.417684,411.1553557,1135.239334,411.116691,1106.661908,387.975837,,-57.82165,0.038664667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,1074.77483,411.053447,1074.67259,410.970063,1074.342192,411.071674,1105.081391,387.975837,1133.43397,411.558115,NaN,NaN,NaN,NaN,0,0,0,0,1074.596537,411.031728,1133.43397,411.558115,1105.081391,387.975837,,-58.83743267,-0.526387,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,1072.227635,411.120788,1072.146682,411.031182,1071.782072,411.128669,1102.664129,387.621899,1130.725924,411.778828,NaN,NaN,NaN,NaN,0,0,0,0,1072.05213,411.0935463,1130.725924,411.778828,1102.664129,387.621899,,-58.67379433,-0.685281667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,1069.591997,411.120788,1069.620774,411.031182,1069.221952,410.957682,1100.153896,387.975837,1128.719965,411.873419,NaN,NaN,NaN,NaN,0,0,0,0,1069.478241,411.0365507,1128.719965,411.873419,1100.153896,387.975837,,-59.241724,-0.836868333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,1067.115557,410.952436,1067.07346,411.173792,1066.616918,410.957682,1097.829606,387.975837,1125.945054,412.062601,NaN,NaN,NaN,NaN,0,0,0,0,1066.935312,411.02797,1125.945054,412.062601,1097.829606,387.975837,,-59.00974233,-1.034631,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,1064.479919,410.817755,1064.547552,410.970063,1064.131655,410.886438,1095.428843,387.684012,1124.278799,412.396955,NaN,NaN,NaN,NaN,0,0,0,0,1064.386375,410.8914187,1124.278799,412.396955,1095.428843,387.684012,,-59.89242367,-1.505536333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
22,1061.968102,410.649403,1061.636336,410.440367,1061.571535,410.772447,1093.631392,387.684012,1122.398212,412.893558,NaN,NaN,NaN,NaN,0,0,0,0,1061.725324,410.620739,1122.398212,412.893558,1093.631392,387.684012,,-60.67288767,-2.272819,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.183333333
23,1059.527041,410.396876,1058.746526,410.521859,1058.502385,410.45897,1091.152149,388.27391,1120.442401,412.893558,NaN,NaN,NaN,NaN,0,0,0,0,1058.925317,410.459235,1120.442401,412.893558,1091.152149,388.27391,,-61.51708367,-2.434323,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.191666667
24,1056.468674,410.422041,1056.701935,410.319696,1055.657808,410.003005,1088.734888,389.040777,1117.884803,412.893558,NaN,NaN,NaN,NaN,0,0,0,0,1056.276139,410.2482473,1117.884803,412.893558,1088.734888,389.040777,,-61.608664,-2.645310667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.2
25,1053.654182,409.748634,1053.936597,409.812637,1053.119772,409.752587,1085.201967,389.866634,1115.477651,413.39016,NaN,NaN,NaN,NaN,0,0,0,0,1053.570184,409.771286,1115.477651,413.39016,1085.201967,389.866634,,-61.90746733,-3.618874,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.208333333
26,1051.295668,409.34459,1051.221999,409.474598,1050.604566,409.277623,1083.03263,390.102593,1113.0705,413.60299,NaN,NaN,NaN,NaN,0,0,0,0,1051.040744,409.3656037,1113.0705,413.60299,1083.03263,390.102593,,-62.02975567,-4.237386333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667
27,1048.371112,408.641255,1048.507401,409.257287,1047.909703,409.125634,1080.057538,391.105419,1111.114689,413.81582,NaN,NaN,NaN,NaN,0,0,0,0,1048.262739,409.0080587,1111.114689,413.81582,1080.057538,391.105419,,-62.85195033,-4.807761333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225
28,1045.273597,408.057636,1045.361512,408.412188,1044.376438,408.023718,1078.074144,391.813296,1109.760666,413.81582,NaN,NaN,NaN,NaN,0,0,0,0,1045.003849,408.164514,1109.760666,413.81582,1078.074144,391.813296,,-64.756817,-5.651306,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333
29,1042.571915,407.792779,1042.291733,407.591235,1041.102678,407.225779,1075.47094,393.17006,1106.977397,414.028649,NaN,NaN,NaN,NaN,0,0,0,0,1041.988775,407.5365977,1106.977397,414.028649,1075.47094,393.17006,,-64.98862167,-6.492051333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667
30,1039.81391,407.15429,1039.914769,406.804639,1038.693266,406.474335,1072.371886,394.467835,1104.570246,413.886763,NaN,NaN,NaN,NaN,0,0,0,0,1039.473982,406.811088,1104.570246,413.886763,1072.371886,394.467835,,-65.09626433,-7.075675,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25
