frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1336.65075,555.886632,1335.039501,555.625265,1334.831914,555.482309,1406.566122,536.40365,1476.418923,562.0224,NaN,NaN,NaN,NaN,NaN,NaN,101.026937,670.841125,1783.002742,645.521774,1335.507388,555.6647353,1476.418923,562.0224,1406.566122,536.40365,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1332.450274,556.911773,1331.21365,556.466294,1330.110396,556.154487,1403.655065,537.612409,1472.746513,562.411909,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1331.258107,556.5108513,1472.746513,562.411909,1403.655065,537.612409,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1327.64973,557.680629,1326.487598,557.083048,1323.837521,556.154487,1401.067459,538.498832,1469.492479,563.234204,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1325.991616,556.9727213,1469.492479,563.234204,1401.067459,538.498832,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1324.306494,558.791199,1322.94306,558.596898,1319.723055,558.036583,1398.07554,540.191093,1466.098987,564.056499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1322.324203,558.4748933,1466.098987,564.056499,1398.07554,540.191093,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1322.07767,560.499768,1320.017409,559.437926,1317.699547,559.313719,1394.113268,541.561019,1463.635219,565.138466,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1319.931542,559.750471,1463.635219,565.138466,1394.113268,541.561019,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1318.477262,561.097767,1316.416608,560.615366,1313.922333,560.45642,1390.878761,543.575617,1459.544434,565.874204,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1316.272068,560.7231843,1459.544434,565.874204,1390.878761,543.575617,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1313.248098,562.293765,1312.534494,561.23212,1309.335715,561.128597,1387.078215,544.46204,1455.500135,566.783056,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1311.706102,561.551494,1455.500135,566.783056,1387.078215,544.46204,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1308.704726,562.293765,1308.483593,561.792805,1306.367903,562.136863,1383.681982,545.751382,1452.617991,567.778466,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1307.852074,562.0744777,1452.617991,567.778466,1383.681982,545.751382,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1305.104318,562.720908,1304.601479,562.129216,1302.927939,562.136863,1379.315398,547.846563,1448.852609,568.557482,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1304.211245,562.3289957,1448.852609,568.557482,1379.315398,547.846563,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1301.50391,563.14805,1300.719365,562.409559,1299.285625,562.876258,1375.353126,549.216489,1444.111017,568.903712,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1300.502967,562.811289,1444.111017,568.903712,1375.353126,549.216489,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
10,1298.846466,563.660621,1296.949776,563.362724,1296.520164,563.279564,1371.795168,551.231086,1440.53158,568.860433,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1297.438802,563.434303,1440.53158,568.860433,1371.795168,551.231086,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.083333333
11,1294.131646,563.318907,1293.405238,562.689902,1293.012751,563.279564,1367.428583,552.923348,1436.719712,569.509614,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1293.516545,563.0961243,1436.719712,569.509614,1367.428583,552.923348,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,1290.016894,563.660621,1289.579387,563.306656,1288.763384,563.750088,1363.304586,554.61561,1432.967595,569.639813,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1289.453222,563.572455,1432.967595,569.639813,1363.304586,554.61561,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,1283.07325,563.660621,1282.884147,562.689902,1283.232462,563.548435,1360.152759,556.600455,1429.441531,570.597287,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1283.063286,563.2996527,1429.441531,570.597287,1360.152759,556.600455,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,1278.015534,562.293765,1278.04557,561.512462,1279.792499,563.750088,1355.732266,558.570283,1424.348328,570.597287,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1278.617868,562.5187717,1424.348328,570.597287,1355.732266,558.570283,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,1274.415126,562.293765,1272.644369,561.512462,1276.622336,562.876258,1351.563345,560.468482,1420.430479,570.734069,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1274.56061,562.227495,1420.430479,570.734069,1351.563345,560.468482,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,1270.728994,562.293765,1270.67518,561.512462,1272.37297,562.136863,1346.999096,562.187605,1416.071872,570.916445,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1271.259048,561.98103,1416.071872,570.916445,1346.999096,562.187605,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,1265.414106,562.464622,1265.217716,561.512462,1265.290692,562.136863,1343.045809,563.870913,1412.349915,571.372385,1397.01046,549.397021,NaN,NaN,1296.339884,570.063959,0,0,0,0,1265.307505,562.0379823,1412.349915,571.372385,1343.045809,563.870913,,-116.010031,-1.308426,#VALUE!,#VALUE!,-53.964651,14.473892,#VALUE!,15.66016034,0.141666667
18,1263.613902,562.464622,1262.685903,561.792805,1261.985629,561.599121,1339.487851,566.485412,1408.921798,571.417979,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1262.761811,561.9521827,1408.921798,571.417979,1339.487851,566.485412,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,1259.413426,560.92691,1258.803789,561.23212,1257.264111,560.725291,1335.67832,568.38361,1404.808056,571.053227,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1258.493775,560.9614403,1404.808056,571.053227,1335.67832,568.38361,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
