frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1513.731,499.979123,1513.403843,500.507069,1513.803406,500.599509,1556.219424,488.916212,1566.383854,536.740961,NaN,NaN,NaN,NaN,51.505157,700.407456,1832.168252,687.644831,1513.646083,500.3619003,1566.383854,536.740961,1556.219424,488.916212,,-52.737771,-36.37906067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1510.666279,499.979123,1510.046786,500.36591,1510.63968,500.599509,1551.508364,488.425334,1564.442448,534.799361,NaN,NaN,NaN,NaN,0,0,0,0,1510.450915,500.3148473,1564.442448,534.799361,1551.508364,488.425334,,-53.991533,-34.48451367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,1507.374541,499.493723,1506.927396,499.603648,1507.008585,499.745394,1549.110007,488.463094,1563.300445,533.720694,NaN,NaN,NaN,NaN,0,0,0,0,1507.103507,499.614255,1563.300445,533.720694,1549.110007,488.463094,,-56.19693767,-34.106439,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,1504.650344,499.224056,1504.194217,499.49072,1504.815547,499.882052,1547.611033,488.047736,1560.902238,532.102694,NaN,NaN,NaN,NaN,0,0,0,0,1504.553369,499.532276,1560.902238,532.102694,1547.611033,488.047736,,-56.34886867,-32.570418,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,1501.812639,499.493723,1501.342203,499.321328,1501.831578,499.164596,1545.555298,487.10374,1559.646035,530.053227,NaN,NaN,NaN,NaN,0,0,0,0,1501.66214,499.326549,1559.646035,530.053227,1545.555298,487.10374,,-57.983895,-30.726678,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,1499.485721,499.008322,1499.322027,499.236633,1499.314978,498.993773,1544.056325,486.726142,1558.846633,528.32736,NaN,NaN,NaN,NaN,0,0,0,0,1499.374242,499.079576,1558.846633,528.32736,1544.056325,486.726142,,-59.472391,-29.247784,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,1496.307492,498.576856,1496.529431,498.502603,1496.331009,498.82295,1541.401,487.594618,1557.362028,526.170026,NaN,NaN,NaN,NaN,0,0,0,0,1496.389311,498.6341363,1557.362028,526.170026,1541.401,487.594618,,-60.97271733,-27.53588967,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,1493.753558,498.576856,1493.410041,498.135588,1493.670603,498.993773,1538.403053,488.425334,1555.306423,524.012693,NaN,NaN,NaN,NaN,0,0,0,0,1493.611401,498.568739,1555.306423,524.012693,1538.403053,488.425334,,-61.69502233,-25.443954,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,1491.313131,498.576856,1490.944238,497.514485,1491.118051,498.549633,1536.732768,488.765172,1554.39282,522.502559,NaN,NaN,NaN,NaN,0,0,0,0,1491.12514,498.213658,1554.39282,522.502559,1536.732768,488.765172,,-63.26768,-24.288901,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.066666667
9,1488.645689,497.606056,1488.448726,497.345094,1488.493596,497.627189,1533.734821,488.916212,1552.908216,520.992426,NaN,NaN,NaN,NaN,0,0,0,0,1488.529337,497.526113,1552.908216,520.992426,1533.734821,488.916212,,-64.378879,-23.466313,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
