frame ,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
11,496.558818,251.654984,496.719369,252.296731,496.187507,251.844703,457.077481,232.10472,415.779789,267.802997,NaN,NaN,NaN,NaN,0,0,0,0,496.4885647,251.9321393,415.779789,267.802997,457.077481,232.10472,,80.70877567,-15.87085767,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.091666667
12,499.819746,251.55846,499.948264,251.784553,499.540749,251.388788,461.094512,231.67191,418.961232,266.877113,NaN,NaN,NaN,NaN,0,0,0,0,499.7695863,251.577267,418.961232,266.877113,461.094512,231.67191,,80.80835433,-15.299846,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1
13,503.049835,251.55846,503.001179,251.459159,503.373025,251.551615,463.823061,231.022693,422.294172,266.535997,NaN,NaN,NaN,NaN,0,0,0,0,503.1413463,251.523078,422.294172,266.535997,463.823061,231.022693,,80.84717433,-15.012919,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.108333333
14,506.053252,251.55846,505.740848,251.210831,505.699764,250.704914,467.461126,231.311234,425.425116,265.853767,NaN,NaN,NaN,NaN,0,0,0,0,505.831288,251.1580683,425.425116,265.853767,467.461126,231.311234,,80.406172,-14.69569867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.116666667
15,510.473374,250.965193,510.346715,251.104789,510.147941,251.030568,470.644433,231.67191,428.00057,265.512652,NaN,NaN,NaN,NaN,0,0,0,0,510.3226767,251.0335167,428.00057,265.512652,470.644433,231.67191,,82.32210667,-14.47913533,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.125
16,513.19345,250.42586,513.3618,250.801277,513.946,250.867741,475.722566,231.311234,431.17943,265.023102,NaN,NaN,NaN,NaN,0,0,0,0,513.5004167,250.6982927,431.17943,265.023102,475.722566,231.311234,,82.32098667,-14.32480933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.133333333
17,516.990221,250.42586,516.579824,250.801277,517.025507,250.346695,478.905873,231.311234,434.979955,264.445552,NaN,NaN,NaN,NaN,0,0,0,0,516.865184,250.5246107,434.979955,264.445552,478.905873,231.311234,,81.885229,-13.92094133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.141666667
18,520.333647,250.42586,519.884821,250.221844,519.489113,250.183868,482.461027,230.281395,438.780479,264.24341,NaN,NaN,NaN,NaN,0,0,0,0,519.902527,250.2771907,438.780479,264.24341,482.461027,230.281395,,81.122048,-13.96621933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.15
19,523.053723,250.156193,523.131836,250.221844,523.287172,249.793083,486.099093,230.281395,441.17451,263.839125,NaN,NaN,NaN,NaN,0,0,0,0,523.157577,250.05704,441.17451,263.839125,486.099093,230.281395,,81.983067,-13.782085,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.158333333
20,527.190504,249.61686,526.929684,249.752779,527.393182,249.662822,489.198185,230.537876,444.376527,263.174943,NaN,NaN,NaN,NaN,0,0,0,0,527.1711233,249.677487,444.376527,263.174943,489.198185,230.537876,,82.79459633,-13.497456,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.166666667
21,530.477262,249.61686,530.203332,249.744656,530.40691,249.135156,492.768879,229.896674,447.847872,263.088311,NaN,NaN,NaN,NaN,0,0,0,0,530.3625013,249.4988907,447.847872,263.088311,492.768879,229.896674,,82.51462933,-13.58942033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.175
