pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
894.697168,645.585293,1026.811703,619.884703,980.662633,686.698049,NaN,NaN,NaN,NaN
893.771440,652.343003,1025.599220,624.529539,NaN,NaN,NaN,NaN,NaN,NaN
891.842840,660.893576,1023.001040,629.484031,NaN,NaN,NaN,NaN,NaN,NaN
889.451375,668.616673,1020.518140,642.301161,NaN,NaN,NaN,NaN,NaN,NaN
886.597047,676.063946,1018.114824,649.674838,NaN,NaN,931.949687,554.957758,NaN,NaN
883.974150,681.994182,1016.490962,656.758214,NaN,NaN,NaN,NaN,NaN,NaN
882.122694,687.165899,1014.737191,662.273957,NaN,NaN,NaN,NaN,NaN,NaN
880.309026,691.481087,1011.944148,666.744612,964.514416,730.459190,NaN,NaN,NaN,NaN
878.526142,696.936291,1010.645058,669.357332,NaN,NaN,NaN,NaN,NaN,NaN
876.126106,702.575378,1007.657152,672.202294,NaN,NaN,NaN,NaN,NaN,NaN
873.931787,707.969288,1004.795050,681.305400,NaN,NaN,NaN,NaN,NaN,NaN
870.366020,712.688959,1002.968206,687.184021,NaN,NaN,921.868435,581.991551,644.874037,589.286384
867.005969,715.937563,1002.237468,690.384604,NaN,NaN,NaN,NaN,725.524053,590.573708
865.428803,718.450635,1000.556770,693.389232,NaN,NaN,NaN,NaN,819.615737,592.290139
863.508774,720.166879,998.364556,695.675363,944.777708,770.783593,NaN,NaN,899.305633,592.719247
860.765876,722.618656,996.318490,696.589815,NaN,NaN,NaN,NaN,981.875887,595.723002
858.365840,725.376905,991.860988,697.438949,NaN,NaN,NaN,NaN,1073.567273,597.010325
854.731500,727.951271,990.107217,701.292711,NaN,NaN,NaN,NaN,1163.338421,599.584972
851.645739,729.606220,987.403487,706.452834,NaN,NaN,912.267243,610.312668,1240.628019,601.730511
848.971413,730.954697,985.722789,710.045325,NaN,NaN,NaN,NaN,1333.759584,601.730511
847.531392,730.893403,984.334387,710.110643,NaN,NaN,NaN,NaN,1418.730136,604.305158
845.405645,731.077286,982.799837,710.763823,934.012230,785.447012,NaN,NaN,1494.099495,606.021590
844.308486,731.751525,981.484509,709.653417,NaN,NaN,NaN,NaN,NaN,NaN
843.211327,732.916119,979.730738,709.849371,NaN,NaN,NaN,NaN,NaN,NaN
840.537001,733.774241,977.392376,712.331455,NaN,NaN,874.342533,625.331442,NaN,NaN
837.931248,734.080713,975.346310,714.617586,NaN,NaN,NaN,NaN,NaN,NaN
835.325494,732.793530,973.592539,715.140130,NaN,NaN,NaN,NaN,NaN,NaN
833.474038,730.525637,971.732297,712.653801,NaN,NaN,NaN,NaN,NaN,NaN
831.485437,728.931981,970.005928,710.302353,913.762880,803.318055,NaN,NaN,NaN,NaN
829.633980,727.215738,966.964231,706.407766,NaN,NaN,NaN,NaN,NaN,NaN
826.685365,726.480204,963.264870,707.436525,NaN,NaN,NaN,NaN,NaN,NaN
823.051024,725.744671,960.058757,708.759215,NaN,NaN,860.900864,628.764305,NaN,NaN
818.351165,723.595078,955.783940,704.497214,NaN,NaN,NaN,NaN,NaN,NaN
814.546476,720.495548,952.331203,703.468456,NaN,NaN,NaN,NaN,NaN,NaN
811.367874,716.362840,950.276003,700.382180,NaN,NaN,NaN,NaN,NaN,NaN
808.381915,713.263310,946.576642,695.752766,881.466447,798.277504,NaN,NaN,NaN,NaN
804.625386,710.465123,941.397536,692.299076,NaN,NaN,NaN,NaN,NaN,NaN
801.302303,708.657063,937.944799,692.666490,NaN,NaN,NaN,NaN,NaN,NaN
796.140298,705.892012,933.916606,690.315041,NaN,NaN,834.017525,620.611256,NaN,NaN
