pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1218.931163,438.463151,1267.193987,427.733107,1248.783833,465.577716,NaN,NaN
1215.060889,438.669388,1263.808566,427.533722,NaN,NaN,NaN,NaN
1210.792205,438.927183,1258.953883,427.976103,NaN,NaN,NaN,NaN
1206.865016,439.288097,1254.013022,428.886886,NaN,NaN,NaN,NaN
1202.710163,439.391215,1247.693316,429.537445,NaN,NaN,NaN,NaN
1197.530826,439.752129,1241.976855,429.797669,NaN,NaN,NaN,NaN
1193.375973,439.288097,1237.438157,430.109938,NaN,NaN,NaN,NaN
1188.993457,440.164602,1233.675059,430.422206,NaN,NaN,NaN,NaN
1185.407763,440.370839,1229.969414,430.292094,NaN,NaN,NaN,NaN
1181.195994,440.628634,1226.436124,430.161982,NaN,NaN,NaN,NaN
1176.244320,440.370839,1222.270863,430.109938,NaN,NaN,NaN,NaN
1170.894236,440.113043,1217.358728,430.031870,NaN,NaN,1173.016477,416.259893
1166.511720,439.545893,1214.241337,430.527401,NaN,NaN,NaN,NaN
1161.730794,440.009925,1210.234069,431.405656,NaN,NaN,NaN,NaN
1157.917436,440.009925,1204.610967,431.815508,NaN,NaN,NaN,NaN
1153.364173,440.164602,1200.442116,432.020434,NaN,NaN,NaN,NaN
1148.720594,440.444214,1196.402531,432.166810,NaN,NaN,NaN,NaN
1144.622658,440.490044,1191.361129,432.430287,NaN,NaN,NaN,NaN
1140.828272,440.490044,1185.931927,433.045065,NaN,NaN,NaN,NaN
1136.831518,440.902517,1183.669760,432.488837,NaN,NaN,NaN,NaN
1132.682989,441.406651,1177.400324,432.840139,1160.934545,469.141256,NaN,NaN
1128.332094,441.635802,1173.360740,433.191441,NaN,NaN,NaN,NaN
1123.981198,441.223329,1169.579688,433.045065,NaN,NaN,NaN,NaN
1119.377342,441.635802,1166.509604,432.898690,NaN,NaN,NaN,NaN
1115.431181,442.185766,1163.439520,433.045065,NaN,NaN,NaN,NaN
1110.321408,441.956615,1158.236534,432.781589,NaN,NaN,NaN,NaN
1105.869328,442.048275,1154.318892,432.846732,NaN,NaN,NaN,NaN
1101.771391,442.185766,1149.556222,432.583255,NaN,NaN,NaN,NaN
1097.622863,442.369088,1144.393633,432.747928,NaN,NaN,NaN,NaN
1092.968416,442.689900,1140.176306,432.846732,NaN,NaN,NaN,NaN
1088.010418,442.185766,1135.777199,432.747928,NaN,NaN,NaN,NaN
1083.204196,442.369088,1131.559872,433.209012,NaN,NaN,1083.667416,417.873076
1079.561585,442.689900,1127.778821,433.077274,NaN,NaN,NaN,NaN
1074.645022,442.721294,1122.216313,433.044339,NaN,NaN,NaN,NaN
1070.732588,442.517604,1118.653399,433.044339,NaN,NaN,NaN,NaN
1066.550332,442.395390,1114.290647,432.517386,NaN,NaN,NaN,NaN
1062.188193,442.517604,1108.909920,432.220975,NaN,NaN,NaN,NaN
1057.736113,441.865795,1104.292675,432.220975,NaN,NaN,NaN,NaN
1053.733739,442.599080,1100.329842,431.463480,NaN,NaN,NaN,NaN
1049.776335,442.395390,1096.257941,431.298807,1080.449175,470.700838,NaN,NaN
1045.998813,442.884247,1092.113327,431.298807,NaN,NaN,NaN,NaN
1041.052058,442.721294,1086.259969,431.298807,NaN,NaN,NaN,NaN
1036.285184,442.599080,1081.737629,429.588912,NaN,NaN,NaN,NaN
1032.012987,442.965723,1077.249840,429.054770,NaN,NaN,NaN,NaN
1026.661497,443.454580,1073.122385,428.906397,NaN,NaN,NaN,NaN
1023.018887,443.861961,1068.274263,428.758024,NaN,NaN,NaN,NaN
1018.072131,443.658270,1063.720959,428.758024,NaN,NaN,NaN,NaN
1013.889875,444.106389,1059.134897,428.579976,NaN,NaN,NaN,NaN
1010.112353,443.821223,1054.679866,428.579976,NaN,NaN,NaN,NaN
1005.345480,443.821223,1049.864501,428.906397,NaN,NaN,NaN,NaN
1000.353754,443.821223,1045.835318,428.758024,NaN,NaN,1003.495739,420.268633
995.683153,444.013649,1040.495832,428.965746,NaN,NaN,NaN,NaN
991.725749,443.941225,1036.990771,428.995421,NaN,NaN,NaN,NaN
987.128764,443.434263,1031.847830,429.737285,NaN,NaN,NaN,NaN
982.851570,443.832591,1027.753133,430.004356,NaN,NaN,NaN,NaN
978.294559,443.434263,1023.658435,430.360451,NaN,NaN,NaN,NaN
974.097312,443.615321,1019.006858,430.657197,NaN,NaN,NaN,NaN
969.900066,443.434263,1014.453554,430.657197,NaN,NaN,NaN,NaN
964.983291,443.506686,1009.570900,431.346663,NaN,NaN,NaN,NaN
960.865992,443.579109,1006.254195,431.713886,NaN,NaN,NaN,NaN
957.028509,443.579109,1002.384705,431.580351,981.111805,472.799398,NaN,NaN
953.111078,444.013649,998.515216,431.747270,NaN,NaN,NaN,NaN
948.793910,444.013649,994.829988,432.181261,NaN,NaN,NaN,NaN
944.236900,444.339553,989.854930,432.648635,NaN,NaN,NaN,NaN
938.760492,444.194707,984.105974,433.116010,NaN,NaN,NaN,NaN
934.083560,444.593035,980.052223,433.216162,NaN,NaN,NaN,NaN
929.326680,444.701669,976.109029,433.049242,NaN,NaN,NaN,NaN
924.433517,445.327672,971.318233,433.216162,NaN,NaN,NaN,NaN
919.920922,445.263296,966.306323,433.216162,NaN,NaN,NaN,NaN
915.443859,444.973603,961.257560,433.683537,NaN,NaN,NaN,NaN
911.464247,445.456425,956.835286,433.516617,NaN,NaN,NaN,NaN
907.022716,445.842682,952.081342,434.150911,NaN,NaN,908.034491,421.883513
901.977137,445.327672,949.040015,433.865599,NaN,NaN,NaN,NaN
898.530509,445.424237,945.764768,434.241168,NaN,NaN,NaN,NaN
894.693026,445.102356,941.411593,434.654294,NaN,NaN,NaN,NaN
889.007866,444.941415,936.892582,434.766964,NaN,NaN,NaN,NaN
884.637400,445.617365,932.456489,434.654294,NaN,NaN,NaN,NaN
881.084175,445.649553,927.688725,434.804521,NaN,NaN,NaN,NaN
876.287322,445.778306,923.584302,435.029863,NaN,NaN,NaN,NaN
871.810258,446.100187,918.111738,435.818557,NaN,NaN,NaN,NaN
867.048937,445.907058,913.426892,435.781000,893.146632,476.222348,NaN,NaN
862.594581,446.009331,908.990799,436.043899,NaN,NaN,NaN,NaN
858.004341,446.276373,904.430329,435.968785,NaN,NaN,NaN,NaN
854.130010,446.543415,900.864871,436.231683,NaN,NaN,NaN,NaN
849.287097,446.963053,894.231460,436.119012,NaN,NaN,NaN,NaN
844.275734,446.657862,890.707461,436.119012,NaN,NaN,NaN,NaN
840.611964,446.963053,886.976168,436.231683,NaN,NaN,NaN,NaN
836.190173,446.963053,882.166945,436.419468,NaN,NaN,NaN,NaN
831.810495,447.382690,878.311275,436.231683,NaN,NaN,NaN,NaN
828.062501,447.840477,872.424123,437.471061,NaN,NaN,NaN,NaN
823.388036,448.031221,866.744266,438.334869,NaN,NaN,NaN,NaN
817.492315,448.260114,861.520455,438.334869,NaN,NaN,819.530269,424.569847
813.196861,448.565305,859.836088,437.861449,NaN,NaN,NaN,NaN
808.480284,448.832347,854.938765,438.748731,NaN,NaN,NaN,NaN
804.648065,449.061241,849.201902,438.748731,NaN,NaN,NaN,NaN
799.889376,449.251985,844.957555,439.805019,NaN,NaN,NaN,NaN
795.383361,449.061241,840.386721,439.509258,NaN,NaN,NaN,NaN
790.751008,449.175687,836.515504,439.509258,NaN,NaN,NaN,NaN
787.362426,449.557397,833.203981,439.636013,NaN,NaN,NaN,NaN
783.082881,449.486910,828.586505,439.889522,NaN,NaN,NaN,NaN
778.453191,449.557397,824.342159,439.931773,NaN,NaN,NaN,NaN
774.640505,449.663127,819.678042,440.396540,797.565385,480.158459,NaN,NaN
769.738481,450.403238,814.127743,440.988061,NaN,NaN,NaN,NaN
764.641932,450.579455,809.883397,440.819055,NaN,NaN,NaN,NaN
759.934432,450.579455,804.752869,440.819055,NaN,NaN,NaN,NaN
755.304742,450.790916,800.321958,441.157067,NaN,NaN,NaN,NaN
750.441623,450.826159,796.637305,441.410576,NaN,NaN,NaN,NaN
744.878214,450.227021,790.807159,441.706336,NaN,NaN,NaN,NaN
741.182243,450.050804,787.355713,441.706336,NaN,NaN,NaN,NaN
737.564083,451.636757,782.458390,441.495079,NaN,NaN,NaN,NaN
734.685116,451.953947,778.027479,441.706336,NaN,NaN,NaN,NaN
729.238422,452.517842,774.073444,442.041237,NaN,NaN,NaN,NaN
724.686542,452.764545,769.778995,442.201661,NaN,NaN,724.838359,428.563050
719.181587,452.754620,764.953274,442.522508,NaN,NaN,NaN,NaN
715.170054,453.287186,760.304643,442.241767,NaN,NaN,NaN,NaN
708.426528,453.600461,755.478922,442.682932,NaN,NaN,NaN,NaN
706.524508,453.725771,751.715745,442.682932,NaN,NaN,NaN,NaN
702.132571,453.067894,746.403025,443.525156,NaN,NaN,NaN,NaN
698.017291,453.224532,741.798667,443.926215,NaN,NaN,NaN,NaN
693.072039,453.725771,737.637036,443.605368,NaN,NaN,NaN,NaN
688.472609,453.725771,732.191497,443.926215,NaN,NaN,NaN,NaN
683.769432,453.788426,727.188685,444.166851,NaN,NaN,NaN,NaN
679.654152,453.882408,722.982782,443.926215,702.425904,484.467846,NaN,NaN
675.158468,453.788426,718.466969,444.206957,NaN,NaN,NaN,NaN
670.835695,454.320993,714.393883,444.206957,NaN,NaN,NaN,NaN
