pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
961.647236,601.184358,1283.240881,500.123596,NaN,NaN,NaN,NaN,NaN,NaN
955.425696,604.201117,1275.431478,503.375450,1172.343847,808.983929,NaN,NaN,NaN,NaN
947.894358,608.893855,1271.195870,506.762797,NaN,NaN,NaN,NaN,NaN,NaN
941.672818,613.921788,1270.534056,510.421132,NaN,NaN,NaN,NaN,NaN,NaN
933.486582,613.921788,1261.533389,515.840888,NaN,NaN,884.872102,423.414966,NaN,NaN
925.627794,611.575419,1253.326898,513.401998,NaN,NaN,NaN,NaN,NaN,NaN
917.441557,612.245810,1245.914583,513.808480,1120.470719,832.964676,NaN,NaN,NaN,NaN
911.220017,617.608939,1243.002602,521.938113,NaN,NaN,NaN,NaN,NaN,NaN
904.343578,622.301676,1233.207758,525.189967,NaN,NaN,NaN,NaN,NaN,NaN
894.520094,620.625698,1217.986041,528.577314,NaN,NaN,845.089755,396.043482,NaN,NaN
883.714261,613.921788,1210.970815,523.293052,NaN,NaN,NaN,NaN,NaN,NaN
876.837822,612.245810,1204.087952,525.325461,1100.809130,830.823538,NaN,NaN,NaN,NaN
867.996686,615.932961,1198.263990,532.913119,NaN,NaN,NaN,NaN,NaN,NaN
860.137899,619.284916,1186.218979,532.371143,NaN,NaN,NaN,NaN,NaN,NaN
849.332066,617.608939,1176.291772,533.861576,NaN,NaN,794.872694,400.716662,NaN,NaN
839.508582,613.586592,1164.379124,528.035339,NaN,NaN,NaN,NaN,NaN,NaN
825.755704,611.575419,1154.670426,525.382199,1048.099338,813.694433,NaN,NaN,NaN,NaN
815.469041,614.268156,1144.116565,530.183764,NaN,NaN,NaN,NaN,NaN,NaN
806.300456,616.726257,1130.044749,530.698217,NaN,NaN,NaN,NaN,NaN,NaN
797.131871,614.268156,1120.328495,528.983373,NaN,NaN,745.307803,400.716662,NaN,NaN
785.125390,609.575419,1107.931896,523.838839,NaN,NaN,NaN,NaN,NaN,NaN
770.717613,605.776536,1095.032731,514.578678,NaN,NaN,NaN,NaN,NaN,NaN
759.147731,605.776536,1083.641261,518.008367,912.559874,828.682400,NaN,NaN,NaN,NaN
749.760846,605.776536,1071.244662,523.495870,NaN,NaN,NaN,NaN,NaN,NaN
736.226268,606.223464,1058.177976,523.838839,NaN,NaN,704.873286,416.738994,NaN,NaN
722.691690,601.754190,1045.446333,523.838839,NaN,NaN,NaN,NaN,NaN,NaN
709.593711,596.391061,1029.699301,520.580634,NaN,NaN,NaN,NaN,NaN,NaN
695.404234,593.262570,1017.302702,521.095088,869.471711,818.833164,NaN,NaN,NaN,NaN
684.489251,593.262570,1002.728321,521.095088,NaN,NaN,NaN,NaN,NaN,NaN
674.447467,595.497207,983.965900,519.380243,NaN,NaN,NaN,NaN,NaN,NaN
660.912889,590.804469,974.584690,512.006411,NaN,NaN,632.482458,384.026733,NaN,NaN
645.413614,585.441341,960.512874,509.605629,NaN,NaN,NaN,NaN,NaN,NaN
630.787537,582.759777,951.801750,514.407194,800.028652,784.574955,NaN,NaN,NaN,NaN
619.435955,583.877095,944.095755,511.834927,NaN,NaN,NaN,NaN,NaN,NaN
609.830771,585.441341,933.541894,506.690393,NaN,NaN,NaN,NaN,NaN,NaN
599.570687,582.312849,911.931605,506.690393,NaN,NaN,558.787290,384.026733,NaN,NaN
588.000806,576.055866,897.692268,500.859921,NaN,NaN,NaN,NaN,NaN,NaN
578.832220,573.374302,888.143536,496.744294,756.103826,797.850011,NaN,NaN,NaN,NaN
573.593029,574.491620,880.772585,501.202890,NaN,NaN,NaN,NaN,NaN,NaN
572.719830,576.055866,875.746936,503.089219,NaN,NaN,NaN,NaN,NaN,NaN
572.064931,574.491620,871.726418,497.258748,NaN,NaN,548.352576,395.375885,NaN,NaN
568.572137,572.927374,872.228982,491.942729,NaN,NaN,NaN,NaN,NaN,NaN
566.389140,567.340782,871.726418,490.056400,NaN,NaN,NaN,NaN,NaN,NaN
566.389140,567.340782,872.564026,492.457183,704.606447,764.656387,NaN,NaN,NaN,NaN
569.008736,569.575419,869.883680,489.198978,NaN,NaN,NaN,NaN,NaN,NaN
570.100234,570.469274,870.721288,491.256791,NaN,NaN,534.657014,402.719454,NaN,NaN
570.973433,567.117318,872.228982,489.541947,NaN,NaN,NaN,NaN,NaN,NaN
570.973433,563.765363,875.746936,485.940773,NaN,NaN,NaN,NaN,NaN,NaN
573.156429,561.754190,885.128147,485.940773,715.183525,753.829101,NaN,NaN,NaN,NaN
577.740722,564.212291,887.473449,481.653662,NaN,NaN,NaN,NaN,NaN,NaN
583.198213,568.011173,891.829011,485.940773,NaN,NaN,NaN,NaN,NaN,NaN
585.817809,565.329609,892.834141,485.940773,NaN,NaN,560.743799,353.317263,NaN,NaN
587.345907,561.083799,897.692268,484.740382,NaN,NaN,NaN,NaN,NaN,NaN
590.183802,560.189944,899.870049,485.083351,751.321873,758.340470,NaN,NaN,NaN,NaN
594.986394,561.083799,903.052960,482.339599,NaN,NaN,NaN,NaN,NaN,NaN
599.134088,563.765363,903.388003,485.254835,NaN,NaN,NaN,NaN,NaN,NaN
600.007286,564.212291,905.733306,486.455226,NaN,NaN,584.874075,353.317263,NaN,NaN
600.007286,565.776536,910.926476,492.800152,NaN,NaN,NaN,NaN,NaN,NaN
603.063481,567.340782,912.601692,492.800152,NaN,NaN,NaN,NaN,NaN,NaN
604.591579,574.268156,915.449559,493.657574,731.489853,735.783624,NaN,NaN,NaN,NaN
607.647774,580.525140,913.606821,495.886872,NaN,NaN,NaN,NaN,NaN,NaN
610.922269,581.418994,913.606821,491.256791,NaN,NaN,601.830486,370.007192,NaN,NaN
611.358868,578.960894,914.444430,483.882960,NaN,NaN,NaN,NaN,NaN,NaN
613.323565,577.620112,913.104257,478.566941,NaN,NaN,NaN,NaN,NaN,NaN
616.816359,580.525140,913.606821,481.139208,763.221085,751.573416,NaN,NaN,NaN,NaN
617.907858,582.312849,917.124775,482.854053,NaN,NaN,NaN,NaN,NaN,NaN
619.435955,583.877095,918.632470,486.455226,NaN,NaN,NaN,NaN,NaN,NaN
620.527453,582.312849,921.480337,485.940773,NaN,NaN,591.395772,366.669206,NaN,NaN
622.055551,578.067039,919.805121,480.281786,NaN,NaN,NaN,NaN,NaN,NaN
622.492150,576.726257,921.982902,473.250923,NaN,NaN,NaN,NaN,NaN,NaN
625.548345,579.854749,923.825640,477.538034,712.098544,745.708636,NaN,NaN,NaN,NaN
629.259439,580.525140,929.521375,484.054444,NaN,NaN,NaN,NaN,NaN,NaN
632.752234,582.312849,933.039329,485.940773,NaN,NaN,NaN,NaN,NaN,NaN
635.153530,580.748603,930.694026,489.198978,NaN,NaN,606.395673,367.336804,NaN,NaN
637.336527,581.418994,935.049588,490.742338,NaN,NaN,NaN,NaN,NaN,NaN
641.920819,580.525140,943.760712,496.058356,784.815952,756.084785,NaN,NaN,NaN,NaN
646.505112,584.547486,944.430799,498.459139,NaN,NaN,NaN,NaN,NaN,NaN
651.089404,592.368715,943.760712,500.688437,NaN,NaN,NaN,NaN,NaN,NaN
653.490701,594.603352,948.618839,505.147033,NaN,NaN,625.960762,380.688747,NaN,NaN
656.546896,594.603352,950.629099,496.744294,NaN,NaN,NaN,NaN,NaN,NaN
661.786087,594.603352,950.796620,499.145077,NaN,NaN,NaN,NaN,NaN,NaN
667.025279,595.497207,954.314574,500.002499,725.319891,746.610910,NaN,NaN,NaN,NaN
670.954673,600.189944,950.796620,507.204846,NaN,NaN,NaN,NaN,NaN,NaN
673.355969,602.424581,954.147052,513.035318,NaN,NaN,NaN,NaN,NaN,NaN
674.010868,599.296089,958.502614,521.781025,NaN,NaN,644.221511,371.342387,NaN,NaN
675.538965,597.955307,965.538522,528.468919,NaN,NaN,NaN,NaN,NaN,NaN
679.031760,596.391061,969.056476,528.983373,776.883144,764.656387,NaN,NaN,NaN,NaN
683.616052,598.625698,973.747081,528.983373,NaN,NaN,NaN,NaN,NaN,NaN
690.819941,602.648045,977.432557,533.613453,NaN,NaN,NaN,NaN,NaN,NaN
695.840833,606.446927,976.259906,542.187676,NaN,NaN,659.873582,402.719454,NaN,NaN
698.460429,607.340782,981.620597,546.303303,NaN,NaN,NaN,NaN,NaN,NaN
700.861725,607.340782,981.285554,544.588459,NaN,NaN,NaN,NaN,NaN,NaN
705.882617,610.916201,985.473595,544.074005,771.594605,783.604137,NaN,NaN,NaN,NaN
711.121808,613.374302,989.159070,543.388068,NaN,NaN,NaN,NaN,NaN,NaN
716.797599,618.960894,991.504373,553.505651,NaN,NaN,NaN,NaN,NaN,NaN
721.381892,621.195531,996.865064,562.594327,NaN,NaN,685.960367,423.414966,NaN,NaN
722.691690,622.759777,997.200108,563.794718,NaN,NaN,NaN,NaN,NaN,NaN
726.402784,624.994413,998.372759,566.024016,NaN,NaN,NaN,NaN,NaN,NaN
731.423676,627.452514,1007.753969,561.393936,785.256663,789.468917,NaN,NaN,NaN,NaN
736.007968,631.698324,1012.109531,563.280265,NaN,NaN,NaN,NaN,NaN,NaN
742.775258,637.284916,1015.996934,576.702286,NaN,NaN,NaN,NaN,NaN,NaN
745.176554,639.966480,1022.875790,586.251827,NaN,NaN,734.220919,413.401008,NaN,NaN
745.394853,639.519553,1023.064252,587.409347,NaN,NaN,NaN,NaN,NaN,NaN
