pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
975.185823,293.734331,817.888288,269.492830,NaN,NaN,NaN,NaN,NaN,NaN
978.751249,295.388287,820.713091,271.575211,NaN,NaN,NaN,NaN,NaN,NaN
980.907088,296.395043,823.255414,275.372494,NaN,NaN,893.718643,211.152396,NaN,NaN
985.384600,296.466954,829.187500,280.149721,NaN,NaN,NaN,NaN,NaN,NaN
988.535442,297.257976,832.718504,281.129665,NaN,NaN,NaN,NaN,NaN,NaN
991.769201,296.251221,834.695866,278.067340,NaN,NaN,NaN,NaN,NaN,NaN
994.837126,295.244465,836.955709,276.352438,887.667643,366.155637,NaN,NaN,NaN,NaN
999.314638,294.741087,840.627953,274.270057,NaN,NaN,NaN,NaN,NaN,NaN
1005.284654,296.179309,844.582677,275.372494,NaN,NaN,NaN,NaN,NaN,NaN
1006.860075,296.754598,849.102362,279.169777,NaN,NaN,NaN,NaN,NaN,NaN
1010.425501,298.911932,852.915847,281.497144,NaN,NaN,921.668500,211.668213,NaN,NaN
1014.405512,299.631043,857.294291,282.354595,NaN,NaN,NaN,NaN,NaN,NaN
1018.302605,299.702954,861.390256,281.129665,NaN,NaN,NaN,NaN,NaN,NaN
1021.950949,298.192821,864.780020,278.557312,NaN,NaN,NaN,NaN,NaN,NaN
1025.350541,298.192821,866.192421,275.984959,914.464929,357.386735,NaN,NaN,NaN,NaN
1027.838048,297.689443,869.582185,273.412606,NaN,NaN,NaN,NaN,NaN,NaN
1032.398477,297.761354,875.090551,272.800141,NaN,NaN,NaN,NaN,NaN,NaN
1035.528434,298.156818,879.610236,275.372494,NaN,NaN,946.160643,207.799580,NaN,NaN
1040.245484,297.517608,883.282480,277.577368,NaN,NaN,NaN,NaN,NaN,NaN
1046.731427,295.663899,887.660925,278.067340,NaN,NaN,NaN,NaN,NaN,NaN
1050.342918,293.234901,890.768209,273.780085,NaN,NaN,NaN,NaN,NaN,NaN
1052.406628,291.700797,893.169291,270.350281,940.974072,357.386735,NaN,NaN,NaN,NaN
1056.018119,290.038851,895.711614,266.063027,NaN,NaN,NaN,NaN,NaN,NaN
1058.597755,290.741982,901.078740,265.695548,NaN,NaN,NaN,NaN,NaN,NaN
1063.978140,290.550219,906.728346,267.655436,NaN,NaN,NaN,NaN,NaN,NaN
1068.474078,290.997666,910.259350,270.350281,NaN,NaN,975.551214,207.025854,NaN,NaN
1071.938161,290.741982,913.649114,272.065183,NaN,NaN,NaN,NaN,NaN,NaN
1076.802619,289.847088,918.592520,271.207732,NaN,NaN,NaN,NaN,NaN,NaN
1080.414110,289.463562,921.558563,267.777929,969.212071,355.839282,NaN,NaN,NaN,NaN
1083.509674,289.016115,924.524606,266.552999,NaN,NaN,NaN,NaN,NaN,NaN
1086.089310,289.463562,928.903051,265.083083,NaN,NaN,NaN,NaN,NaN,NaN
1090.364137,290.805903,932.999016,267.287957,NaN,NaN,NaN,NaN,NaN,NaN
1095.376002,292.340007,936.388779,270.350281,NaN,NaN,1008.111357,208.573307,NaN,NaN
1098.692678,293.426664,940.767224,274.637536,NaN,NaN,NaN,NaN,NaN,NaN
1102.525280,294.129795,943.309547,276.597424,NaN,NaN,NaN,NaN,NaN,NaN
1104.515286,293.234901,945.590114,275.126109,NaN,NaN,NaN,NaN,NaN,NaN
1107.979369,293.043138,948.979878,274.037283,1004.925542,361.900587,NaN,NaN,NaN,NaN
1111.296045,292.595691,951.616361,272.839573,NaN,NaN,NaN,NaN,NaN,NaN
1114.170497,293.682348,955.257218,272.839573,NaN,NaN,NaN,NaN,NaN,NaN
1117.335566,295.080328,958.772529,274.363931,NaN,NaN,NaN,NaN,NaN,NaN
