0,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
1,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN
16,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN
18,NaN,NaN,NaN,NaN
19,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN
23,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN
53,NaN,NaN,NaN,NaN
54,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN
56,NaN,NaN,NaN,NaN
57,NaN,NaN,NaN,NaN
58,NaN,NaN,NaN,NaN
59,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,NaN
62,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,NaN
64,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN
66,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN
68,NaN,NaN,NaN,NaN
69,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,NaN
72,NaN,NaN,NaN,NaN
73,NaN,NaN,NaN,NaN
74,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN
76,NaN,NaN,NaN,NaN
77,NaN,NaN,NaN,NaN
78,NaN,NaN,NaN,NaN
79,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN
81,NaN,NaN,NaN,NaN
82,NaN,NaN,NaN,NaN
83,NaN,NaN,NaN,NaN
84,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN
86,NaN,NaN,NaN,NaN
87,NaN,NaN,NaN,NaN
88,NaN,NaN,NaN,NaN
89,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN
91,NaN,NaN,NaN,NaN
92,NaN,NaN,NaN,NaN
93,NaN,NaN,NaN,NaN
94,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN
96,NaN,NaN,NaN,NaN
97,NaN,NaN,NaN,NaN
98,NaN,NaN,NaN,NaN
99,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN
101,NaN,NaN,NaN,NaN
102,NaN,NaN,NaN,NaN
103,NaN,NaN,NaN,NaN
104,NaN,NaN,NaN,NaN
105,NaN,NaN,NaN,NaN
106,NaN,NaN,NaN,NaN
107,NaN,NaN,NaN,NaN
108,NaN,NaN,NaN,NaN
109,NaN,NaN,NaN,NaN
110,NaN,NaN,NaN,NaN
111,NaN,NaN,NaN,NaN
112,NaN,NaN,NaN,NaN
113,NaN,NaN,NaN,NaN
114,NaN,NaN,NaN,NaN
115,NaN,NaN,NaN,NaN
116,NaN,NaN,NaN,NaN
117,NaN,NaN,NaN,NaN
118,NaN,NaN,NaN,NaN
119,NaN,NaN,NaN,NaN
120,NaN,NaN,NaN,NaN
121,NaN,NaN,NaN,NaN
122,NaN,NaN,NaN,NaN
123,NaN,NaN,NaN,NaN
124,NaN,NaN,NaN,NaN
125,NaN,NaN,NaN,NaN
126,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN
128,NaN,NaN,NaN,NaN
129,NaN,NaN,NaN,NaN
130,NaN,NaN,NaN,NaN
131,NaN,NaN,NaN,NaN
132,NaN,NaN,NaN,NaN
133,NaN,NaN,NaN,NaN
134,NaN,NaN,NaN,NaN
135,NaN,NaN,NaN,NaN
136,NaN,NaN,NaN,NaN
137,NaN,NaN,NaN,NaN
138,NaN,NaN,NaN,NaN
139,NaN,NaN,NaN,NaN
140,NaN,NaN,NaN,NaN
141,NaN,NaN,NaN,NaN
142,NaN,NaN,NaN,NaN
143,NaN,NaN,NaN,NaN
144,NaN,NaN,NaN,NaN
145,NaN,NaN,NaN,NaN
146,NaN,NaN,NaN,NaN
147,NaN,NaN,NaN,NaN
148,NaN,NaN,NaN,NaN
149,843.026726,647.339881,853.489522,679.25804
150,NaN,NaN,NaN,NaN
151,850.617382,648.362899,888.980967,635.882081
152,NaN,NaN,NaN,NaN
153,840.154586,657.365457,856.361662,702.173641
154,NaN,NaN,NaN,NaN
155,845.898866,663.503564,879.13363,653.682592
156,845.48856,669.846275,857.592579,706.879523
157,NaN,NaN,NaN,NaN
158,869.901751,669.846275,897.597388,669.846275
159,NaN,NaN,NaN,NaN
160,875.646031,677.825815,888.980967,711.790009
161,890.006732,679.871851,922.626037,683.554715
162,NaN,NaN,NaN,NaN
163,902.315903,686.623769,911.958088,738.388475
164,NaN,NaN,NaN,NaN
165,938.217654,692.761876,966.528749,694.194101
166,947.449533,695.217119,958.938094,735.319421
167,NaN,NaN,NaN,NaN
168,982.940978,703.196659,1018.842729,706.265713
169,NaN,NaN,NaN,NaN
170,994.839845,712.608424,1010.226309,751.2785
171,1004.276876,717.51891,1043.666226,725.293846
172,NaN,NaN,NaN,NaN
173,1009.081393,732.380606,1019.293447,779.121158
174,NaN,NaN,NaN,NaN
175,1016.193359,746.020845,1053.212054,748.203283
176,1007.622529,754.204988,1026.770129,815.313258
177,NaN,NaN,NaN,NaN
178,1000.875279,767.663357,1047.376594,769.845795
179,983.733617,777.120589,995.03982,825.679839
180,NaN,NaN,NaN,NaN
181,963.30951,790.578958,1011.087332,794.761965
182,936.937287,802.499341,949.742878,837.25669
183,NaN,NaN,NaN,NaN
184,903.221301,816.078957,954.281569,820.282171
185,NaN,NaN,NaN,NaN
186,861.40051,838.711649,887.011692,896.425015
187,841.624787,850.027995,884.093962,860.536031
188,NaN,NaN,NaN,NaN
189,785.701636,874.600633,812.933779,935.54724
190,NaN,NaN,NaN,NaN
191,734.947818,896.054689,779.176703,895.543757
192,697.891184,912.234203,715.138742,953.108766
193,NaN,NaN,NaN,NaN
194,663.225301,928.754339,718.724868,919.557562
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,NaN
198,NaN,NaN,NaN,NaN
199,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN
201,NaN,NaN,NaN,NaN
202,NaN,NaN,NaN,NaN
203,NaN,NaN,NaN,NaN
204,NaN,NaN,NaN,NaN
205,NaN,NaN,NaN,NaN
206,NaN,NaN,NaN,NaN
207,NaN,NaN,NaN,NaN
208,NaN,NaN,NaN,NaN
209,NaN,NaN,NaN,NaN
210,NaN,NaN,NaN,NaN
211,NaN,NaN,NaN,NaN
212,NaN,NaN,NaN,NaN
213,NaN,NaN,NaN,NaN
214,NaN,NaN,NaN,NaN
215,NaN,NaN,NaN,NaN
216,NaN,NaN,NaN,NaN
217,NaN,NaN,NaN,NaN
218,NaN,NaN,NaN,NaN
219,NaN,NaN,NaN,NaN
220,NaN,NaN,NaN,NaN
221,NaN,NaN,NaN,NaN
222,NaN,NaN,NaN,NaN
223,NaN,NaN,NaN,NaN
224,NaN,NaN,NaN,NaN
225,NaN,NaN,NaN,NaN
226,NaN,NaN,NaN,NaN
227,NaN,NaN,NaN,NaN
228,NaN,NaN,NaN,NaN
229,NaN,NaN,NaN,NaN
230,NaN,NaN,NaN,NaN
231,NaN,NaN,NaN,NaN
232,NaN,NaN,NaN,NaN
233,NaN,NaN,NaN,NaN
