pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
1073.059382,499.006739,1075.566965,502.889434,1070.136455,499.797452,1085.822685,487.620903,1109.131499,501.296441,NaN,NaN,NaN,NaN,128.803742,635.567244,1801.871425,596.297988
1070.429599,499.006739,1073.213657,502.645469,1067.664787,499.559010,1084.181255,487.258756,1106.583740,501.004442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1068.089537,498.921511,1070.718583,502.293075,1065.232124,499.168424,1082.255732,487.138041,1103.571873,500.968486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1065.459753,499.091967,1068.110096,502.265968,1062.558052,498.618051,1079.067570,487.138041,1101.703754,500.896575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1062.985973,498.751055,1065.756788,501.832252,1059.958260,498.227465,1076.826387,487.379472,1092.359071,506.002049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1060.400762,498.474064,1063.148301,501.696716,1057.265618,497.996663,1074.111715,487.922692,1090.166549,505.952223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1057.949269,498.367529,1060.766640,501.371430,1054.740105,497.925647,1071.744268,487.922692,1088.449513,505.852572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1055.720638,497.920082,1058.413331,500.883500,1052.641701,497.535061,1069.250557,488.194302,1086.494735,505.777833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1054.160597,497.707012,1055.464607,500.747964,1049.391960,497.002442,1066.756847,488.315017,1084.804115,505.603443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1052.778846,497.344793,1052.856121,500.368462,1046.627407,496.367754,1064.420966,488.435733,1082.981416,505.254663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
